date,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,home_pen_score,away_id,away_score,away_name,away_long_name,away_pen_score,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_status_aggregated_str,match_status_awarded,match_time_ts,match_tv,internal_rank,live_rank,simple_league,parent_league_id,is_group,group_name,parent_league_name
2021-10-23,GER,54,54,1. Bundesliga,3624420,54,23.10.2021 15:30,9823,4,Bayern München,Bayern München,,8226,0,Hoffenheim,TSG Hoffenheim,,,6,9,TRUE,TRUE,FALSE,4 - 0,"Oct 23, 2021",23. Oct.,FT,Full-Time,,,,1634977800000,,20,100,FALSE,,,,
2021-10-23,GER,54,54,1. Bundesliga,3624419,54,23.10.2021 15:30,178475,4,RB Leipzig,RB Leipzig,,8357,1,Greuther Fürth,Greuther Fürth,,,6,9,TRUE,TRUE,FALSE,4 - 1,"Oct 23, 2021",23. Oct.,FT,Full-Time,,,,1634977800000,,20,100,FALSE,,,,
2021-10-23,GER,54,54,1. Bundesliga,3624418,54,23.10.2021 15:30,8721,0,Wolfsburg,Wolfsburg,,8358,2,Freiburg,Freiburg,,,6,9,TRUE,TRUE,FALSE,0 - 2,"Oct 23, 2021",23. Oct.,FT,Full-Time,,,,1634977800000,,20,100,FALSE,,,,
2021-10-23,GER,54,54,1. Bundesliga,3624415,54,23.10.2021 18:30,8177,1,Hertha BSC,Hertha BSC,,9788,0,M'gladbach,Borussia M'Gladbach,,,6,9,TRUE,TRUE,FALSE,1 - 0,"Oct 23, 2021",23. Oct.,FT,Full-Time,,,,1634988600000,,20,100,FALSE,,,,
2021-10-24,GER,54,54,1. Bundesliga,3624413,54,24.10.2021 15:30,8722,2,Köln,1. FC Köln,,8178,2,Leverkusen,Bayer Leverkusen,,,6,9,TRUE,TRUE,FALSE,2 - 2,"Oct 24, 2021",24. Oct.,FT,Full-Time,,,,1635064200000,,20,100,FALSE,,,,
2021-10-24,GER,54,54,1. Bundesliga,3624417,54,24.10.2021 17:30,10269,1,VfB Stuttgart,VfB Stuttgart,,8149,1,Union Berlin,Union Berlin,,,6,9,TRUE,TRUE,FALSE,1 - 1,"Oct 24, 2021",24. Oct.,FT,Full-Time,,,,1635071400000,,20,100,FALSE,,,,
2021-10-24,GER,54,54,1. Bundesliga,3624412,54,24.10.2021 19:30,9911,2,Bochum,Bochum,,9810,0,Frankfurt,Eintracht Frankfurt,,,6,9,TRUE,TRUE,FALSE,2 - 0,"Oct 24, 2021",24. Oct.,FT,Full-Time,,,,1635078600000,,20,100,FALSE,,,,
2021-10-29,GER,54,54,1. Bundesliga,3624423,54,29.10.2021 20:30,8226,2,Hoffenheim,TSG Hoffenheim,,8177,0,Hertha BSC,Hertha BSC,,,6,10,TRUE,TRUE,FALSE,2 - 0,"Oct 29, 2021",29. Oct.,FT,Full-Time,,,,1635514200000,,20,100,FALSE,,,,
2021-10-30,GER,54,54,1. Bundesliga,3624421,54,30.10.2021 15:30,9912,1,Arminia Bielefeld,Arminia Bielefeld,,9905,2,Mainz,Mainz 05,,,6,10,TRUE,TRUE,FALSE,1 - 2,"Oct 30, 2021",30. Oct.,FT,Full-Time,,,,1635582600000,,20,100,FALSE,,,,
2021-10-30,GER,54,54,1. Bundesliga,3624427,54,30.10.2021 15:30,8178,0,Leverkusen,Bayer Leverkusen,,8721,2,Wolfsburg,Wolfsburg,,,6,10,TRUE,TRUE,FALSE,0 - 2,"Oct 30, 2021",30. Oct.,FT,Full-Time,,,,1635582600000,,20,100,FALSE,,,,
