date,is_group,group_name,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,away_id,away_score,away_name,away_long_name,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_time_ts,parent_league_id,parent_league_name,internal_rank,live_rank,simple_league,match_tv,home_pen_score,away_pen_score,match_status_awarded,match_status_aggregated_str,matches
2022-08-26,,,ITA,55,55,Serie A,3919106,55,26.08.2022 18:30,6504,1,Monza,Monza,8600,2,Udinese,Udinese,,6,3,TRUE,TRUE,FALSE,1 - 2,"Aug 26, 2022",26. Aug.,FT,Full-Time,,1661513400000,,,9,100,FALSE,,,,,,
2022-08-26,,,ITA,55,55,Serie A,3919103,55,26.08.2022 20:45,8543,3,Lazio,Lazio,8636,1,Inter,Inter,,6,3,TRUE,TRUE,FALSE,3 - 1,"Aug 26, 2022",26. Aug.,FT,Full-Time,,1661521500000,,,9,100,FALSE,,,,,,
2022-08-27,,,ITA,55,55,Serie A,3919099,55,27.08.2022 18:30,7801,1,Cremonese,Cremonese,9804,2,Torino,Torino,,6,3,TRUE,TRUE,FALSE,1 - 2,"Aug 27, 2022",27. Aug.,FT,Full-Time,,1661599800000,,,9,100,FALSE,,,,,,
2022-08-27,,,ITA,55,55,Serie A,3919102,55,27.08.2022 18:30,9885,1,Juventus,Juventus,8686,1,Roma,Roma,,6,3,TRUE,TRUE,FALSE,1 - 1,"Aug 27, 2022",27. Aug.,FT,Full-Time,,1661599800000,,,9,100,FALSE,,,,,,
2022-08-27,,,ITA,55,55,Serie A,3919105,55,27.08.2022 20:45,8564,2,Milan,Milan,9857,0,Bologna,Bologna,,6,3,TRUE,TRUE,FALSE,2 - 0,"Aug 27, 2022",27. Aug.,FT,Full-Time,,1661607900000,,,9,100,FALSE,,,,,,
2022-08-27,,,ITA,55,55,Serie A,3919108,55,27.08.2022 20:45,9881,2,Spezia,Spezia,7943,2,Sassuolo,Sassuolo,,6,3,TRUE,TRUE,FALSE,2 - 2,"Aug 27, 2022",27. Aug.,FT,Full-Time,,1661607900000,,,9,100,FALSE,,,,,,
2022-08-28,,,ITA,55,55,Serie A,3919101,55,28.08.2022 18:30,9876,0,Hellas Verona,Hellas Verona,8524,1,Atalanta,Atalanta,,6,3,TRUE,TRUE,FALSE,0 - 1,"Aug 28, 2022",28. Aug.,FT,Full-Time,,1661686200000,,,9,100,FALSE,,,,,,
2022-08-28,,,ITA,55,55,Serie A,3919107,55,28.08.2022 18:30,6480,4,Salernitana,Salernitana,9882,0,Sampdoria,Sampdoria,,6,3,TRUE,TRUE,FALSE,4 - 0,"Aug 28, 2022",28. Aug.,FT,Full-Time,,1661686200000,,,9,100,FALSE,,,,,,
2022-08-28,,,ITA,55,55,Serie A,3919100,55,28.08.2022 20:45,8535,0,Fiorentina,Fiorentina,9875,0,Napoli,Napoli,,6,3,TRUE,TRUE,FALSE,0 - 0,"Aug 28, 2022",28. Aug.,FT,Full-Time,,1661694300000,,,9,100,FALSE,,,,,,
2022-08-28,,,ITA,55,55,Serie A,3919104,55,28.08.2022 20:45,9888,1,Lecce,Lecce,8534,1,Empoli,Empoli,,6,3,TRUE,TRUE,FALSE,1 - 1,"Aug 28, 2022",28. Aug.,FT,Full-Time,,1661694300000,,,9,100,FALSE,,,,,,
2022-08-30,,,ITA,55,55,Serie A,3919117,55,30.08.2022 18:30,7943,0,Sassuolo,Sassuolo,8564,0,Milan,Milan,,6,4,TRUE,TRUE,FALSE,0 - 0,Yesterday,Yesterday,FT,Full-Time,,1661859000000,,,9,100,FALSE,,,,,,
2022-08-30,,,ITA,55,55,Serie A,3919112,55,30.08.2022 20:45,8636,3,Inter,Inter,7801,1,Cremonese,Cremonese,,6,4,TRUE,TRUE,FALSE,3 - 1,Yesterday,Yesterday,FT,Full-Time,,1661867100000,,,9,100,FALSE,,,,,,
