date,is_group,group_name,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,away_id,away_score,away_name,away_long_name,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_time_ts,parent_league_id,parent_league_name,internal_rank,live_rank,simple_league,match_tv,home_pen_score,away_pen_score,match_status_awarded,match_status_aggregated_str,matches
2019-03-21,,,INT,859001,50,EURO Qualification Grp. C,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-21,,,INT,859004,50,EURO Qualification Grp. E,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-21,,,INT,859006,50,EURO Qualification Grp. G,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-21,,,INT,859008,50,EURO Qualification Grp. I,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-22,,,INT,858999,50,EURO Qualification Grp. A,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-22,,,INT,859000,50,EURO Qualification Grp. B,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-22,,,INT,859007,50,EURO Qualification Grp. H,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-23,,,INT,859002,50,EURO Qualification Grp. D,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-23,,,INT,859005,50,EURO Qualification Grp. F,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-23,,,INT,858998,50,EURO Qualification Grp. J,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-24,,,INT,859001,50,EURO Qualification Grp. C,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-24,,,INT,859004,50,EURO Qualification Grp. E,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-24,,,INT,859006,50,EURO Qualification Grp. G,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-24,,,INT,859008,50,EURO Qualification Grp. I,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-25,,,INT,858999,50,EURO Qualification Grp. A,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-25,,,INT,859000,50,EURO Qualification Grp. B,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-25,,,INT,859007,50,EURO Qualification Grp. H,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-26,,,INT,859002,50,EURO Qualification Grp. D,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-26,,,INT,859005,50,EURO Qualification Grp. F,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-03-26,,,INT,858998,50,EURO Qualification Grp. J,,,,,,,,,,,,,,,,,,,,,,,,,50,,0,1001,FALSE,,,,,,
2019-06-07,TRUE,A,INT,858999,50,EURO Qualification Grp. A,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
2019-06-07,TRUE,B,INT,859000,50,EURO Qualification Grp. B,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
2019-06-07,TRUE,D,INT,859002,50,EURO Qualification Grp. D,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
2019-06-07,TRUE,F,INT,859005,50,EURO Qualification Grp. F,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
2019-06-07,TRUE,G,INT,859006,50,EURO Qualification Grp. G,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
2019-06-08,TRUE,C,INT,859001,50,EURO Qualification Grp. C,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
2019-06-08,TRUE,E,INT,859004,50,EURO Qualification Grp. E,,,,,,,,,,,,,,,,,,,,,,,,,50,EURO 2020,0,1001,FALSE,,,,,,
