date,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,home_pen_score,away_id,away_score,away_name,away_long_name,away_pen_score,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_status_aggregated_str,match_status_awarded,match_time_ts,match_tv,internal_rank,live_rank,simple_league,parent_league_id,is_group,group_name,parent_league_name
2019-06-14,INT,859683,44,Copa America Grp. A,2977566,859683,15.06.2019 02:30,8256,3,Brazil,Brazil,,5797,0,Bolivia,Bolivia,,,6,1,TRUE,TRUE,FALSE,3 - 0,"Jun 14, 2019",14. Jun.,FT,Full-Time,,,,1560540600000,,0,10001,FALSE,44,TRUE,A,Copa America
2019-06-15,INT,859683,44,Copa America Grp. A,2977567,859683,15.06.2019 21:00,5800,0,Venezuela,Venezuela,,5798,0,Peru,Peru,,,6,1,TRUE,TRUE,FALSE,0 - 0,"Jun 15, 2019",15. Jun.,FT,Full-Time,,,,1560607200000,,0,10001,FALSE,44,TRUE,A,Copa America
2019-06-15,INT,859684,44,Copa America Grp. B,2977572,859684,16.06.2019 00:00,6706,0,Argentina,Argentina,,8258,2,Colombia,Colombia,,,6,1,TRUE,TRUE,FALSE,0 - 2,"Jun 15, 2019",15. Jun.,FT,Full-Time,,,,1560618000000,,0,10001,FALSE,44,TRUE,B,Copa America
2019-06-16,INT,859684,44,Copa America Grp. B,2977573,859684,16.06.2019 21:00,6724,2,Paraguay,Paraguay,,5902,2,Qatar,Qatar,,,6,1,TRUE,TRUE,FALSE,2 - 2,"Jun 16, 2019",16. Jun.,FT,Full-Time,,,,1560693600000,,0,10001,FALSE,44,TRUE,B,Copa America
2019-06-16,INT,859685,44,Copa America Grp. C,2977578,859685,17.06.2019 00:00,5796,4,Uruguay,Uruguay,,6707,0,Ecuador,Ecuador,,,6,1,TRUE,TRUE,FALSE,4 - 0,"Jun 16, 2019",16. Jun.,FT,Full-Time,,,,1560704400000,,0,10001,FALSE,44,TRUE,C,Copa America
2019-06-17,INT,859685,44,Copa America Grp. C,2977579,859685,18.06.2019 01:00,6715,0,Japan,Japan,,9762,4,Chile,Chile,,,6,1,TRUE,TRUE,FALSE,0 - 4,"Jun 17, 2019",17. Jun.,FT,Full-Time,,,,1560794400000,,0,10001,FALSE,44,TRUE,C,Copa America
2019-06-18,INT,859683,44,Copa America Grp. A,2977568,859683,18.06.2019 23:30,5797,1,Bolivia,Bolivia,,5798,3,Peru,Peru,,,6,2,TRUE,TRUE,FALSE,1 - 3,"Jun 18, 2019",18. Jun.,FT,Full-Time,,,,1560875400000,,0,10001,FALSE,44,TRUE,A,Copa America
2019-06-18,INT,859683,44,Copa America Grp. A,2977569,859683,19.06.2019 02:30,8256,0,Brazil,Brazil,,5800,0,Venezuela,Venezuela,,,6,2,TRUE,TRUE,FALSE,0 - 0,"Jun 18, 2019",18. Jun.,FT,Full-Time,,,,1560886200000,,0,10001,FALSE,44,TRUE,A,Copa America
2019-06-19,INT,859684,44,Copa America Grp. B,2977574,859684,19.06.2019 23:30,8258,1,Colombia,Colombia,,5902,0,Qatar,Qatar,,,6,2,TRUE,TRUE,FALSE,1 - 0,"Jun 19, 2019",19. Jun.,FT,Full-Time,,,,1560961800000,,0,10001,FALSE,44,TRUE,B,Copa America
2019-06-19,INT,859684,44,Copa America Grp. B,2977575,859684,20.06.2019 02:30,6706,1,Argentina,Argentina,,6724,1,Paraguay,Paraguay,,,6,2,TRUE,TRUE,FALSE,1 - 1,"Jun 19, 2019",19. Jun.,FT,Full-Time,,,,1560972600000,,0,10001,FALSE,44,TRUE,B,Copa America
