"competition_type","competition_name","country","gender","governing_body","first_season","last_season","tier","comp_url","seasons","season_end_year","seasons_urls","fixtures_url","is_completed","filter_out"
"Club International Cups","Copa Sudamericana",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/205/history/Copa-Sudamericana-Seasons","2015","2015","https://fbref.com/en/comps/205/2015/2015-Copa-Sudamericana-Stats","https://fbref.com/en/comps/205/2015/schedule/2015-Copa-Sudamericana-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Sudamericana",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/205/history/Copa-Sudamericana-Seasons","2014","2014","https://fbref.com/en/comps/205/2014/2014-Copa-Sudamericana-Stats","https://fbref.com/en/comps/205/2014/schedule/2014-Copa-Sudamericana-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2023-2024","2024","https://fbref.com/en/comps/8/Champions-League-Stats","https://fbref.com/en/comps/8/schedule/Champions-League-Scores-and-Fixtures","FALSE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2022-2023","2023","https://fbref.com/en/comps/8/2022-2023/2022-2023-Champions-League-Stats","https://fbref.com/en/comps/8/2022-2023/schedule/2022-2023-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2021-2022","2022","https://fbref.com/en/comps/8/2021-2022/2021-2022-Champions-League-Stats","https://fbref.com/en/comps/8/2021-2022/schedule/2021-2022-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2020-2021","2021","https://fbref.com/en/comps/8/2020-2021/2020-2021-Champions-League-Stats","https://fbref.com/en/comps/8/2020-2021/schedule/2020-2021-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2019-2020","2020","https://fbref.com/en/comps/8/2019-2020/2019-2020-Champions-League-Stats","https://fbref.com/en/comps/8/2019-2020/schedule/2019-2020-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2018-2019","2019","https://fbref.com/en/comps/8/2018-2019/2018-2019-Champions-League-Stats","https://fbref.com/en/comps/8/2018-2019/schedule/2018-2019-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2017-2018","2018","https://fbref.com/en/comps/8/2017-2018/2017-2018-Champions-League-Stats","https://fbref.com/en/comps/8/2017-2018/schedule/2017-2018-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2016-2017","2017","https://fbref.com/en/comps/8/2016-2017/2016-2017-Champions-League-Stats","https://fbref.com/en/comps/8/2016-2017/schedule/2016-2017-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2015-2016","2016","https://fbref.com/en/comps/8/2015-2016/2015-2016-Champions-League-Stats","https://fbref.com/en/comps/8/2015-2016/schedule/2015-2016-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2014-2015","2015","https://fbref.com/en/comps/8/2014-2015/2014-2015-Champions-League-Stats","https://fbref.com/en/comps/8/2014-2015/schedule/2014-2015-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2013-2014","2014","https://fbref.com/en/comps/8/2013-2014/2013-2014-Champions-League-Stats","https://fbref.com/en/comps/8/2013-2014/schedule/2013-2014-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2012-2013","2013","https://fbref.com/en/comps/8/2012-2013/2012-2013-Champions-League-Stats","https://fbref.com/en/comps/8/2012-2013/schedule/2012-2013-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2011-2012","2012","https://fbref.com/en/comps/8/2011-2012/2011-2012-Champions-League-Stats","https://fbref.com/en/comps/8/2011-2012/schedule/2011-2012-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2010-2011","2011","https://fbref.com/en/comps/8/2010-2011/2010-2011-Champions-League-Stats","https://fbref.com/en/comps/8/2010-2011/schedule/2010-2011-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2009-2010","2010","https://fbref.com/en/comps/8/2009-2010/2009-2010-Champions-League-Stats","https://fbref.com/en/comps/8/2009-2010/schedule/2009-2010-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2008-2009","2009","https://fbref.com/en/comps/8/2008-2009/2008-2009-Champions-League-Stats","https://fbref.com/en/comps/8/2008-2009/schedule/2008-2009-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2007-2008","2008","https://fbref.com/en/comps/8/2007-2008/2007-2008-Champions-League-Stats","https://fbref.com/en/comps/8/2007-2008/schedule/2007-2008-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2006-2007","2007","https://fbref.com/en/comps/8/2006-2007/2006-2007-Champions-League-Stats","https://fbref.com/en/comps/8/2006-2007/schedule/2006-2007-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2005-2006","2006","https://fbref.com/en/comps/8/2005-2006/2005-2006-Champions-League-Stats","https://fbref.com/en/comps/8/2005-2006/schedule/2005-2006-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2004-2005","2005","https://fbref.com/en/comps/8/2004-2005/2004-2005-Champions-League-Stats","https://fbref.com/en/comps/8/2004-2005/schedule/2004-2005-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2003-2004","2004","https://fbref.com/en/comps/8/2003-2004/2003-2004-Champions-League-Stats","https://fbref.com/en/comps/8/2003-2004/schedule/2003-2004-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2002-2003","2003","https://fbref.com/en/comps/8/2002-2003/2002-2003-Champions-League-Stats","https://fbref.com/en/comps/8/2002-2003/schedule/2002-2003-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2001-2002","2002","https://fbref.com/en/comps/8/2001-2002/2001-2002-Champions-League-Stats","https://fbref.com/en/comps/8/2001-2002/schedule/2001-2002-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","2000-2001","2001","https://fbref.com/en/comps/8/2000-2001/2000-2001-Champions-League-Stats","https://fbref.com/en/comps/8/2000-2001/schedule/2000-2001-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1999-2000","2000","https://fbref.com/en/comps/8/1999-2000/1999-2000-Champions-League-Stats","https://fbref.com/en/comps/8/1999-2000/schedule/1999-2000-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1998-1999","1999","https://fbref.com/en/comps/8/1998-1999/1998-1999-Champions-League-Stats","https://fbref.com/en/comps/8/1998-1999/schedule/1998-1999-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1997-1998","1998","https://fbref.com/en/comps/8/1997-1998/1997-1998-Champions-League-Stats","https://fbref.com/en/comps/8/1997-1998/schedule/1997-1998-Champions-League-Scores-and-Fixtures","TRUE","N"
"Club International Cups","UEFA Champions League",NA,"M","UEFA","1990-1991","2023-2024",NA,"https://fbref.com/en/comps/8/history/Champions-League-Seasons","1996-1997","1997","https://fbref.com/en/comps/8/1996-1997/1996-1997-Champions-League-Stats","https://fbref.com/en/comps/8/1996-1997/schedule/1996-1997-Champions-League-Scores-and-Fixtures","TRUE","N"
