Player,Born,Url,player_dob,player_url
Andrei Lupu,1998,https://fbref.com/en/players/60035815/Andrei-Lupu,NA,https://www.transfermarkt.com/andrei-lupu/profil/spieler/510972
Andrej Kramarić,1991,https://fbref.com/en/players/603cb947/Andrej-Kramaric,NA,https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580
Andrey Lunyov,1991,https://fbref.com/en/players/8a6ab963/Andrey-Lunyov,NA,https://www.transfermarkt.com/andrey-lunev/profil/spieler/112541
Andrija Balić,1997,https://fbref.com/en/players/9be4ee80/Andrija-Balic,NA,https://www.transfermarkt.com/andrija-balic/profil/spieler/316111
Andy Diouf,2002,https://fbref.com/en/players/9b5237b1/Andy-Diouf,NA,https://www.transfermarkt.com/andy-diouf/profil/spieler/711976
Ángel,2002,https://fbref.com/en/players/b1e5bbec/Angel,NA,https://www.transfermarkt.com/angel-jimenez/profil/spieler/713632
Angelo da Costa Júnior,1983,https://fbref.com/en/players/18736214/Angelo-da-Costa-Junior,NA,https://www.transfermarkt.com/angelo-da-costa/profil/spieler/82693
Ante Ćorić,1997,https://fbref.com/en/players/2d3f7367/Ante-Coric,NA,https://www.transfermarkt.com/ante-coric/profil/spieler/96630
Ante Rebić,1993,https://fbref.com/en/players/536cebe5/Ante-Rebic,NA,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587
Anthony Briançon,1994,https://fbref.com/en/players/16324e1d/Anthony-Briancon,NA,https://www.transfermarkt.com/anthony-briancon/profil/spieler/190338
Anthony Mandrea,1996,https://fbref.com/en/players/f7d3a773/Anthony-Mandrea,NA,https://www.transfermarkt.com/anthony-mandrea/profil/spieler/290559
Anto Grgić,1996,https://fbref.com/en/players/126cf855/Anto-Grgic,NA,https://www.transfermarkt.com/anto-grgic/profil/spieler/192637
Antonín Barák,1994,https://fbref.com/en/players/01efac19/Antonin-Barak,NA,https://www.transfermarkt.com/antonin-barak/profil/spieler/272261
Antonio Cortés,2000,https://fbref.com/en/players/31a1288d/Antonio-Cortes,NA,https://www.transfermarkt.com/antonin/profil/spieler/610336
Antonio Mionić,2001,https://fbref.com/en/players/0511d050/Antonio-Mionic,NA,https://www.transfermarkt.com/antonio-mionic/profil/spieler/562259
Antonio Pacheco,2002,https://fbref.com/en/players/fdbe95bc/Antonio-Pacheco,NA,https://www.transfermarkt.com/antonio-pacheco/profil/spieler/568156
Antonio Raillo,1991,https://fbref.com/en/players/b857bd29/Antonio-Raillo,NA,https://www.transfermarkt.com/antonio-raillo/profil/spieler/278296
Antonios Papadopoulos,1999,https://fbref.com/en/players/13d23b29/Antonios-Papadopoulos,NA,https://www.transfermarkt.com/antonios-papadopoulos/profil/spieler/482573
Armand Lauriente,1998,https://fbref.com/en/players/2d22cea7/Armand-Lauriente,NA,https://www.transfermarkt.com/armand-lauriente/profil/spieler/579930
Arnau Comas,2000,https://fbref.com/en/players/01d45441/Arnau-Comas,NA,https://www.transfermarkt.com/arnau-comas/profil/spieler/388542
Arnaut Groeneveld,1997,https://fbref.com/en/players/f08490a6/Arnaut-Groeneveld,NA,https://www.transfermarkt.com/arnaut-danjuma/profil/spieler/355861
Arnel Jakupović,1998,https://fbref.com/en/players/61ecee0e/Arnel-Jakupovic,NA,https://www.transfermarkt.com/arnel-jakupovic/profil/spieler/268426
Arnór Sigurðsson,1999,https://fbref.com/en/players/f209b81e/Arnor-Sigurdsson,NA,https://www.transfermarkt.com/arnor-sigurdsson/profil/spieler/377665
Arthur Melo,1996,https://fbref.com/en/players/48b3dd60/Arthur-Melo,NA,https://www.transfermarkt.com/arthur/profil/spieler/362842
Artjoms Rudņevs,1988,https://fbref.com/en/players/6398cd4e/Artjoms-Rudnevs,NA,https://www.transfermarkt.com/artjoms-rudnevs/profil/spieler/103547
Artur Ioniță,1990,https://fbref.com/en/players/cedb3e36/Artur-Ionita,NA,https://www.transfermarkt.com/artur-ionita/profil/spieler/98888
Asmir Begović,1987,https://fbref.com/en/players/7b4de647/Asmir-Begovic,NA,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873
Axel Camblan,2003,https://fbref.com/en/players/9f4a940f/Axel-Camblan,NA,https://www.transfermarkt.com/axel-camblan/profil/spieler/924800
Baba Rahman,1994,https://fbref.com/en/players/e4086af3/Baba-Rahman,NA,https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884
Babacar Guèye,1994,https://fbref.com/en/players/4942dad3/Babacar-Gueye,NA,https://www.transfermarkt.com/babacar-gueye/profil/spieler/342364
Bamo Meïté,2001,https://fbref.com/en/players/04ac78d2/Bamo-Meite,NA,https://www.transfermarkt.com/bamo-meite/profil/spieler/807165
Banhie Zoukrou,2003,https://fbref.com/en/players/aefa3050/Banhie-Zoukrou,NA,https://www.transfermarkt.com/tanguy-zoukrou/profil/spieler/917120
Bartłomiej Drągowski,1997,https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,NA,https://www.transfermarkt.com/bartlomiej-dragowski/profil/spieler/208166
Bartosz Bereszyński,1992,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,NA,https://www.transfermarkt.com/bartosz-bereszynski/profil/spieler/144143
Ben Bobzien,2003,https://fbref.com/en/players/4f380a04/Ben-Bobzien,NA,https://www.transfermarkt.com/ben-bobzien/profil/spieler/658116
Benjamin Hadžić,1999,https://fbref.com/en/players/f765bb88/Benjamin-Hadzic,NA,https://www.transfermarkt.com/benjamin-hadzic/profil/spieler/349530
Blerim Džemaili,1986,https://fbref.com/en/players/756959aa/Blerim-Dzemaili,NA,https://www.transfermarkt.com/blerim-dzemaili/profil/spieler/9967
Bobby Thomas,NA,https://fbref.com/en/players/6a471ee8/Bobby-Thomas,NA,https://www.transfermarkt.com/bobby-thomas/profil/spieler/788283
Bogdan Lobonț,1978,https://fbref.com/en/players/ee5fc087/Bogdan-Lobont,NA,https://www.transfermarkt.com/bogdan-lobont/profil/spieler/4310
Bojan Krkić,1990,https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic,NA,https://www.transfermarkt.com/bojan-krkic/profil/spieler/44675
Bradley Locko,2002,https://fbref.com/en/players/6bf7cabe/Bradley-Locko,NA,https://www.transfermarkt.com/bradley-locko/profil/spieler/805908
Brandon,1995,https://fbref.com/en/players/3e016e5a/Brandon,NA,https://www.transfermarkt.com/brandon-thomas/profil/spieler/251680
Brandon Domingues,2000,https://fbref.com/en/players/2a00c6c0/Brandon-Domingues,NA,https://www.transfermarkt.com/brandon-domingues/profil/spieler/804708
Branislav Ivanović,1984,https://fbref.com/en/players/85f8571a/Branislav-Ivanovic,NA,https://www.transfermarkt.com/branislav-ivanovic/profil/spieler/36827
Bruno,1998,https://fbref.com/en/players/e51336b7/Bruno,NA,https://www.transfermarkt.com/bruno-bertinato/profil/spieler/323929
Bruno Petković,1994,https://fbref.com/en/players/24228180/Bruno-Petkovic,NA,https://www.transfermarkt.com/bruno-petkovic/profil/spieler/256358
Bryan,2001,https://fbref.com/en/players/7b5ab7f2/Bryan,NA,https://www.transfermarkt.com/bryan-gil/profil/spieler/537382
Bryan Djile Nokoué,2002,https://fbref.com/en/players/75186a6a/Bryan-Djile-Nokoue,NA,https://www.transfermarkt.com/bryan-nokoue/profil/spieler/855607
Burak Yılmaz,1985,https://fbref.com/en/players/165a2e40/Burak-Yilmaz,NA,https://www.transfermarkt.com/burak-yilmaz/profil/spieler/34987
Carlo,2001,https://fbref.com/en/players/8249ff06/Carlo,NA,https://www.transfermarkt.com/carlo-garcia/profil/spieler/627287
Carmona,2002,https://fbref.com/en/players/2dce876a/Carmona,NA,https://www.transfermarkt.com/jose-angel-carmona/profil/spieler/711625
Carney Chukwuemeka,2004,https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka,NA,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459
Cauly Oliveira Souza,1995,https://fbref.com/en/players/2b53f7a5/Cauly-Oliveira-Souza,NA,https://www.transfermarkt.com/cauly/profil/spieler/162812
Ćazim Suljić,1996,https://fbref.com/en/players/b8c23930/Cazim-Suljic,NA,https://www.transfermarkt.com/cazim-suljic/profil/spieler/348431
Cédric Yamberé,1990,https://fbref.com/en/players/1c344204/Cedric-Yambere,NA,https://www.transfermarkt.com/cedric-yambere/profil/spieler/291140
César,2001,https://fbref.com/en/players/d88d2aed/Cesar,NA,https://www.transfermarkt.com/cesar-moreno/profil/spieler/672953
Chapela,1999,https://fbref.com/en/players/9ed40a69/Chapela,NA,https://www.transfermarkt.com/ivan-chapela/profil/spieler/412046
Charles Traore,1992,https://fbref.com/en/players/de488e56/Charles-Traore,NA,https://www.transfermarkt.com/charles-traore/profil/spieler/394906
Chechu,1982,https://fbref.com/en/players/e98f3a6a/Chechu,NA,https://www.transfermarkt.com/chechu-dorado/profil/spieler/70898
Cheikh Kané Sarr,2000,https://fbref.com/en/players/4dc1cd2c/Cheikh-Kane-Sarr,NA,https://www.transfermarkt.com/cheikh-kane-sarr/profil/spieler/632471
Cheon Seonghoon,2000,https://fbref.com/en/players/f1333503/Cheon-Seonghoon,NA,https://www.transfermarkt.com/seong-hoon-cheon/profil/spieler/545503
Chinchu,2002,https://fbref.com/en/players/f2ad9da9/Chinchu,NA,https://www.transfermarkt.com/chinchu/profil/spieler/857939
Christian Nørgaard,1994,https://fbref.com/en/players/df0a4c90/Christian-Norgaard,NA,https://www.transfermarkt.com/christian-norgaard/profil/spieler/148367
Christian Rutjens,NA,https://fbref.com/en/players//Christian-Rutjens,NA,https://www.transfermarkt.com/christian-rutjens/profil/spieler/462809
Christopher Martins,1997,https://fbref.com/en/players/0e96a5e1/Christopher-Martins,NA,https://www.transfermarkt.com/christopher-martins-pereira/profil/spieler/248054
Churripi,1994,https://fbref.com/en/players/81a606fc/Churripi,NA,https://www.transfermarkt.com/jose-antonio-caro/profil/spieler/268946
Cifu,1990,https://fbref.com/en/players/90f83973/Cifu,NA,https://www.transfermarkt.com/miguel-cifuentes/profil/spieler/175836
Ciprian Tătărușanu,1986,https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu,NA,https://www.transfermarkt.com/ciprian-tatarusanu/profil/spieler/55282
Cristian,1998,https://fbref.com/en/players/9ad74b4d/Cristian,NA,https://www.transfermarkt.com/cristian-rivero/profil/spieler/398131
Cucho,1999,https://fbref.com/en/players/71b47ab9/Cucho,NA,https://www.transfermarkt.com/cucho-hernandez/profil/spieler/459463
Dalbert Henrique,1993,https://fbref.com/en/players/f45f9427/Dalbert-Henrique,NA,https://www.transfermarkt.com/dalbert/profil/spieler/312862
Damian Kądzior,1992,https://fbref.com/en/players/bb6c6331/Damian-Kadzior,NA,https://www.transfermarkt.com/damian-kadzior/profil/spieler/199299
Dan Nlundulu,1999,https://fbref.com/en/players/30040f5d/Dan-Nlundulu,NA,https://www.transfermarkt.com/dan-nlundulu/profil/spieler/346482
Daniel Molina Orta,1996,https://fbref.com/en/players/102fda08/Daniel-Molina-Orta,NA,https://www.transfermarkt.com/dani-molina/profil/spieler/305957
Daniel Pavlović,1988,https://fbref.com/en/players/47146acb/Daniel-Pavlovic,NA,https://www.transfermarkt.com/daniel-pavlovic/profil/spieler/19671
Danijel Milićević,1986,https://fbref.com/en/players/1251f42e/Danijel-Milicevic,NA,https://www.transfermarkt.com/danijel-milicevic/profil/spieler/33343
Danijel Petković,1993,https://fbref.com/en/players/b98cea65/Danijel-Petkovic,NA,https://www.transfermarkt.com/danijel-petkovic/profil/spieler/188930
Danijel Subašić,1984,https://fbref.com/en/players/f6db3bd5/Danijel-Subasic,NA,https://www.transfermarkt.com/danijel-subasic/profil/spieler/27941
Danilo Larangeira,1984,https://fbref.com/en/players/fed5f993/Danilo-Larangeira,NA,https://www.transfermarkt.com/danilo/profil/spieler/32816
Darko Brašanac,1992,https://fbref.com/en/players/4accb7e0/Darko-Brasanac,NA,https://www.transfermarkt.com/darko-brasanac/profil/spieler/95641
Darko Lazović,1990,https://fbref.com/en/players/5128bde4/Darko-Lazovic,NA,https://www.transfermarkt.com/darko-lazovic/profil/spieler/70411
Dejan Dražić,1995,https://fbref.com/en/players/e9457fb9/Dejan-Drazic,NA,https://www.transfermarkt.com/dejan-drazic/profil/spieler/291247
Dejan Joveljić,1999,https://fbref.com/en/players/95a24690/Dejan-Joveljic,NA,https://www.transfermarkt.com/dejan-joveljic/profil/spieler/336382
Dejan Vokič,1996,https://fbref.com/en/players/6c145d64/Dejan-Vokic,NA,https://www.transfermarkt.com/dejan-voki%C4%87/profil/spieler/290698
Denis Drăguș,1999,https://fbref.com/en/players/0e490f6e/Denis-Dragus,NA,https://www.transfermarkt.com/denis-dragus/profil/spieler/405399
Denis Petrić,1988,https://fbref.com/en/players/dab1b8dc/Denis-Petric,NA,https://www.transfermarkt.com/denis-petric/profil/spieler/28356
Dennis Cirken,2002,https://fbref.com/en/players/307ea3b6/Dennis-Cirken,NA,https://www.transfermarkt.com/dennis-cirkin/profil/spieler/568006
Dennis Eckert,1997,https://fbref.com/en/players/7f8fb807/Dennis-Eckert,NA,https://www.transfermarkt.com/dennis-eckert-ayensa/profil/spieler/249303
Derek Mazou-Sacko,2004,https://fbref.com/en/players/810edef9/Derek-Mazou-Sacko,NA,https://www.transfermarkt.com/derek-mazou-sacko/profil/spieler/917104
Diego Noguerol,2002,https://fbref.com/en/players/c487901c/Diego-Noguerol,NA,https://www.transfermarkt.com/diego-lopez/profil/spieler/617081
Dion Moise Sahi,2001,https://fbref.com/en/players/cdc4458b/Dion-Moise-Sahi,NA,https://www.transfermarkt.com/moise-sahi-dion/profil/spieler/880330
Dodi Lukebakio,1997,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,NA,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259
Domagoj Bradarić,1999,https://fbref.com/en/players/8bbe2df5/Domagoj-Bradaric,NA,https://www.transfermarkt.com/domagoj-bradaric/profil/spieler/357796
Dominic Schmidt,2001,https://fbref.com/en/players/49aba599/Dominic-Schmidt,NA,https://www.transfermarkt.com/dominic-schmidt/profil/spieler/476498
Dragan Rosić,1996,https://fbref.com/en/players/b614c059/Dragan-Rosic,NA,https://www.transfermarkt.com/dragan-rosic/profil/spieler/374055
Duje Ćaleta-Car,1996,https://fbref.com/en/players/94f8d10c/Duje-Caleta-Car,NA,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266
Duje Čop,1990,https://fbref.com/en/players/8b0b02c9/Duje-Cop,NA,https://www.transfermarkt.com/duje-cop/profil/spieler/46415
Dušan Tadić,1988,https://fbref.com/en/players/2475dcc6/Dusan-Tadic,NA,https://www.transfermarkt.com/dusan-tadic/profil/spieler/36139
