"Player","Born","Url","player_dob","player_url"
"Arthur Melo",1996,"https://fbref.com/en/players/48b3dd60/Arthur-Melo",NA,NA
"Artjoms Rudņevs",1988,"https://fbref.com/en/players/6398cd4e/Artjoms-Rudnevs",NA,NA
"Artur Ioniță",1990,"https://fbref.com/en/players/cedb3e36/Artur-Ionita",NA,NA
"Asmir Begović",1987,"https://fbref.com/en/players/7b4de647/Asmir-Begovic",NA,NA
"Axel Camblan",2003,"https://fbref.com/en/players/9f4a940f/Axel-Camblan",NA,NA
"Baba Rahman",1994,"https://fbref.com/en/players/e4086af3/Baba-Rahman",NA,NA
"Babacar Guèye",1994,"https://fbref.com/en/players/4942dad3/Babacar-Gueye",NA,NA
"Bamo Meïté",2001,"https://fbref.com/en/players/04ac78d2/Bamo-Meite",NA,NA
"Banhie Zoukrou",2003,"https://fbref.com/en/players/aefa3050/Banhie-Zoukrou",NA,NA
"Bartłomiej Drągowski",1997,"https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski",NA,NA
"Bartosz Bereszyński",1992,"https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski",NA,NA
"Ben Bobzien",2003,"https://fbref.com/en/players/4f380a04/Ben-Bobzien",NA,NA
"Benjamin Hadžić",1999,"https://fbref.com/en/players/f765bb88/Benjamin-Hadzic",NA,NA
"Blerim Džemaili",1986,"https://fbref.com/en/players/756959aa/Blerim-Dzemaili",NA,NA
"Bobby Thomas",NA,"https://fbref.com/en/players/6a471ee8/Bobby-Thomas",NA,NA
"Bogdan Lobonț",1978,"https://fbref.com/en/players/ee5fc087/Bogdan-Lobont",NA,NA
"Bojan Krkić",1990,"https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic",NA,NA
"Bradley Locko",2002,"https://fbref.com/en/players/6bf7cabe/Bradley-Locko",NA,NA
"Brandon",1995,"https://fbref.com/en/players/3e016e5a/Brandon",NA,NA
"Brandon Domingues",2000,"https://fbref.com/en/players/2a00c6c0/Brandon-Domingues",NA,NA
"Branislav Ivanović",1984,"https://fbref.com/en/players/85f8571a/Branislav-Ivanovic",NA,NA
"Bruno",1998,"https://fbref.com/en/players/e51336b7/Bruno",NA,NA
"Bruno Petković",1994,"https://fbref.com/en/players/24228180/Bruno-Petkovic",NA,NA
"Bryan",2001,"https://fbref.com/en/players/7b5ab7f2/Bryan",NA,NA
"Bryan Djile Nokoué",2002,"https://fbref.com/en/players/75186a6a/Bryan-Djile-Nokoue",NA,NA
"Burak Yılmaz",1985,"https://fbref.com/en/players/165a2e40/Burak-Yilmaz",NA,NA
"Carlo",2001,"https://fbref.com/en/players/8249ff06/Carlo",NA,NA
"Carmona",2002,"https://fbref.com/en/players/2dce876a/Carmona",NA,NA
"Carney Chukwuemeka",2004,"https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka",NA,NA
"Cauly Oliveira Souza",1995,"https://fbref.com/en/players/2b53f7a5/Cauly-Oliveira-Souza",NA,NA
"Ćazim Suljić",1996,"https://fbref.com/en/players/b8c23930/Cazim-Suljic",NA,NA
"Cédric Yamberé",1990,"https://fbref.com/en/players/1c344204/Cedric-Yambere",NA,NA
"César",2001,"https://fbref.com/en/players/d88d2aed/Cesar",NA,NA
"Chapela",1999,"https://fbref.com/en/players/9ed40a69/Chapela",NA,NA
"Charles Traore",1992,"https://fbref.com/en/players/de488e56/Charles-Traore",NA,NA
"Chechu",1982,"https://fbref.com/en/players/e98f3a6a/Chechu",NA,NA
"Cheikh Kané Sarr",2000,"https://fbref.com/en/players/4dc1cd2c/Cheikh-Kane-Sarr",NA,NA
"Cheon Seonghoon",2000,"https://fbref.com/en/players/f1333503/Cheon-Seonghoon",NA,NA
"Chinchu",2002,"https://fbref.com/en/players/f2ad9da9/Chinchu",NA,NA
"Christian Nørgaard",1994,"https://fbref.com/en/players/df0a4c90/Christian-Norgaard",NA,NA
"Christian Rutjens",NA,"https://fbref.com/en/players//Christian-Rutjens",NA,NA
"Christopher Martins",1997,"https://fbref.com/en/players/0e96a5e1/Christopher-Martins",NA,NA
