"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position"
"Joshué Quiñónez","2000","https://fbref.com/en/players/c7305b1d/Joshue-Quinonez","FC Dallas","ec ECU",NA,NA,NA,NA,NA
"Juan Castillo","2004","https://fbref.com/en/players/bd538c54/Juan-Castillo","Houston Dynamo","co COL",NA,NA,NA,NA,NA
"Julian Dunn-Johnson","2000","https://fbref.com/en/players/220b5800/Julian-Dunn-Johnson","Toronto FC","ca CAN",NA,NA,NA,NA,NA
"Julian Vazquez","2001","https://fbref.com/en/players/ff07b25e/Julian-Vazquez","Sporting KC","us USA",NA,NA,NA,NA,NA
"Julio Benitez","2005","https://fbref.com/en/players/625ed11d/Julio-Benitez","Real Salt Lake","us USA",NA,NA,NA,NA,NA
"Kacper Przybyłko","1993","https://fbref.com/en/players/4c53a714/Kacper-Przybylko","Chicago Fire","pl POL",NA,NA,NA,NA,NA
"Karol Świderski","1997","https://fbref.com/en/players/41723204/Karol-Swiderski","Charlotte","pl POL",NA,NA,NA,NA,NA
"Kim Kee-hee","1989","https://fbref.com/en/players/46c6ba76/Kim-Kee-hee","Seattle","kr KOR",NA,NA,NA,NA,NA
"Kim Moonhwan","1995","https://fbref.com/en/players/6bce7dd8/Kim-Moonhwan","Los Angeles FC","kr KOR",NA,NA,NA,NA,NA
"Kurowskybob Fertil-Pierre","2002","https://fbref.com/en/players/0ea6656a/Kurowskybob-Fertil-Pierre","Real Salt Lake","ht HAI",NA,NA,NA,NA,NA
"Luiz Fernando","1997","https://fbref.com/en/players/ce23c94d/Luiz-Fernando","Atlanta Utd","br BRA",NA,NA,NA,NA,NA
"Luka Stojanović","1994","https://fbref.com/en/players/1a892191/Luka-Stojanovic","Chicago Fire","rs SRB",NA,NA,NA,NA,NA
"Machop Malual","1998","https://fbref.com/en/players/1701b012/Machop-Malual","Atlanta Utd","ss SSD",NA,NA,NA,NA,NA
"Mamadou Fall","2002","https://fbref.com/en/players/805a2a11/Mamadou-Fall","Los Angeles FC","sn SEN",NA,NA,NA,NA,NA
"Manuel Milinković","1994","https://fbref.com/en/players/24bc0090/Manuel-Milinkovic","Vancouver","rs SRB",NA,NA,NA,NA,NA
"Marcelino Moreno","1994","https://fbref.com/en/players/058c938c/Marcelino-Moreno","Atlanta Utd","ar ARG",NA,NA,NA,NA,NA
"Marco Farfan","1998","https://fbref.com/en/players/cfc68595/Marco-Farfan","FC Dallas","us USA",NA,NA,NA,NA,NA
"Marko Marić","1996","https://fbref.com/en/players/b57454c7/Marko-Maric","Houston Dynamo","hr CRO",NA,NA,NA,NA,NA
"Mathias Jørgensen","2000","https://fbref.com/en/players/a854969f/Mathias-Jorgensen","NY Red Bulls","dk DEN",NA,NA,NA,NA,NA
"Mathieu Choiniere","1999","https://fbref.com/en/players/017459bb/Mathieu-Choiniere","CF Montréal","ca CAN",NA,NA,NA,NA,NA
"McKinze Gaines","1998","https://fbref.com/en/players/8ef72983/McKinze-Gaines","Charlotte","us USA",NA,NA,NA,NA,NA
"Memo Rodriguez","1995","https://fbref.com/en/players/fc6c6b2b/Memo-Rodriguez","Houston Dynamo","us USA",NA,NA,NA,NA,NA
