"Player","Born","Url","player_dob","player_url","player_position"
"Alejandro Bedoya","1987","https://fbref.com/en/players/9a6f8dfd/Alejandro-Bedoya",1987-04-29,"https://www.transfermarkt.com/alejandro-bedoya/profil/spieler/111783","Central Midfield"
"Alejandro Fuenmayor","1996","https://fbref.com/en/players/77edb7ec/Alejandro-Fuenmayor",1996-08-29,"https://www.transfermarkt.com/alejandro-fuenmayor/profil/spieler/309910","Centre-Back"
"Alejandro Pozuelo","1991","https://fbref.com/en/players/5e1280ff/Alejandro-Pozuelo",1991-09-20,"https://www.transfermarkt.com/alejandro-pozuelo/profil/spieler/188853","Attacking Midfield"
"Alex Bono","1994","https://fbref.com/en/players/aa28a396/Alex-Bono",1994-04-25,"https://www.transfermarkt.com/alex-bono/profil/spieler/272881","Goalkeeper"
"Alex Crognale","1994","https://fbref.com/en/players/1169c5eb/Alex-Crognale",1994-08-27,"https://www.transfermarkt.com/alex-crognale/profil/spieler/478530","Centre-Back"
"Alex DeJohn","1991","https://fbref.com/en/players/2a6c024c/Alex-DeJohn",1991-05-10,"https://www.transfermarkt.com/alex-dejohn/profil/spieler/318222","Centre-Back"
"Alex Horwath","1987","https://fbref.com/en/players/31fa7045/Alex-Horwath",1987-03-27,"https://www.transfermarkt.com/alex-horwath/profil/spieler/160605","Goalkeeper"
"Alex Monis","2003","https://fbref.com/en/players/66db9e72/Alex-Monis",2003-03-20,"https://www.transfermarkt.com/alex-monis/profil/spieler/724442","Right Winger"
"Alex Muyl","1995","https://fbref.com/en/players/2c1025bf/Alex-Muyl",1995-09-30,"https://www.transfermarkt.com/alex-muyl/profil/spieler/413690","Right Winger"
"Alex Villanueva","2002","https://fbref.com/en/players/c168f022/Alex-Villanueva",2002-07-09,"https://www.transfermarkt.com/alex-villanueva/profil/spieler/705870","Left-Back"
"Alexander Alvarado","1999","https://fbref.com/en/players/7302ba2b/Alexander-Alvarado",1999-04-21,"https://www.transfermarkt.com/alexander-alvarado/profil/spieler/379838","Left Winger"
"Alexander Callens","1992","https://fbref.com/en/players/af34f10d/Alexander-Callens",1992-05-04,"https://www.transfermarkt.com/alexander-callens/profil/spieler/147462","Centre-Back"
"Alexander Ring","1991","https://fbref.com/en/players/6c1221d6/Alexander-Ring",1991-04-09,"https://www.transfermarkt.com/alexander-ring/profil/spieler/82113","Central Midfield"
"Ali Ahmed","2000","https://fbref.com/en/players/540a5be1/Ali-Ahmed",2000-10-10,"https://www.transfermarkt.com/ali-ahmed/profil/spieler/995642","Left-Back"
"Alistair Johnston","1998","https://fbref.com/en/players/4fb17e20/Alistair-Johnston",1998-10-08,"https://www.transfermarkt.com/alistair-johnston/profil/spieler/637446","Right-Back"
"Allan Cruz","1996","https://fbref.com/en/players/030105a5/Allan-Cruz",1996-02-24,"https://www.transfermarkt.com/allan-cruz/profil/spieler/313234","Central Midfield"
"Álvaro Barreal","2000","https://fbref.com/en/players/ffca53e1/Alvaro-Barreal",2000-08-17,"https://www.transfermarkt.com/alvaro-barreal/profil/spieler/613873","Right Winger"
"Álvaro Quezada","1999","https://fbref.com/en/players/621a4365/Alvaro-Quezada",1999-03-04,"https://www.transfermarkt.com/alvaro-quezada/profil/spieler/636280","Left Midfield"
"Alvas Powell","1994","https://fbref.com/en/players/2f91124d/Alvas-Powell",1994-07-18,"https://www.transfermarkt.com/alvas-powell/profil/spieler/189772","Right-Back"
"Alvin Jones","1994","https://fbref.com/en/players/594a1e52/Alvin-Jones",1994-07-09,"https://www.transfermarkt.com/alvin-jones/profil/spieler/347597","Right-Back"
"Amadou Dia","1993","https://fbref.com/en/players/1650e261/Amadou-Dia",1993-06-08,"https://www.transfermarkt.com/amadou-dia/profil/spieler/354912","Left-Back"
"Amando Moreno","1995","https://fbref.com/en/players/9dc9b03f/Amando-Moreno",1995-09-10,"https://www.transfermarkt.com/amando-moreno/profil/spieler/253573","Left Winger"
"Amar Sejdic","1996","https://fbref.com/en/players/43ca2019/Amar-Sejdic",1996-11-29,"https://www.transfermarkt.com/amar-sejdic/profil/spieler/424993","Defensive Midfield"
"Amro Tarek","1992","https://fbref.com/en/players/52c930c0/Amro-Tarek",1992-05-17,"https://www.transfermarkt.com/amro-tarek/profil/spieler/158997","Centre-Back"
"Andre Blake","1990","https://fbref.com/en/players/b3b21a11/Andre-Blake",1990-11-21,"https://www.transfermarkt.com/andre-blake/profil/spieler/244149","Goalkeeper"
"Andre Rawls","1991","https://fbref.com/en/players/cfce710d/Andre-Rawls",1991-12-20,"https://www.transfermarkt.com/andre-rawls/profil/spieler/354887","Goalkeeper"
"Andre Reynolds II","2001","https://fbref.com/en/players/d46dbe4f/Andre-Reynolds-II",2001-05-02,"https://www.transfermarkt.com/andre-reynolds-ii/profil/spieler/647501","Left-Back"
"Andreas Ivan","1995","https://fbref.com/en/players/8bf58a80/Andreas-Ivan",1995-01-10,"https://www.transfermarkt.com/andreas-ivan/profil/spieler/200041","Left Winger"
"Andrés Cubas","1996","https://fbref.com/en/players/9b40a6ea/Andres-Cubas",1996-05-22,"https://www.transfermarkt.com/andres-cubas/profil/spieler/323872","Defensive Midfield"
"Andrés Flores","1990","https://fbref.com/en/players/67c11728/Andres-Flores",1990-08-31,"https://www.transfermarkt.com/andres-flores/profil/spieler/125387","Attacking Midfield"
"Andres Jasson","2002","https://fbref.com/en/players/31d049b2/Andres-Jasson",2002-01-17,"https://www.transfermarkt.com/andres-jasson/profil/spieler/627208","Left Winger"
"Andrés Perea","2000","https://fbref.com/en/players/7e1dbecf/Andres-Perea",2000-11-14,"https://www.transfermarkt.com/andres-perea/profil/spieler/491536","Defensive Midfield"
"Andrés Reyes","1999","https://fbref.com/en/players/36ab14f5/Andres-Reyes",1999-09-08,"https://www.transfermarkt.com/andres-reyes/profil/spieler/582995","Centre-Back"
"Andrés Ricaurte","1991","https://fbref.com/en/players/4db5b8cb/Andres-Ricaurte",1991-10-03,"https://www.transfermarkt.com/andres-ricaurte/profil/spieler/253846","Attacking Midfield"
"Andrés Ríos","1989","https://fbref.com/en/players/f825bd33/Andres-Rios",1989-08-01,"https://www.transfermarkt.com/andres-rios/profil/spieler/59310","Centre-Forward"
"Andrew Brody","1995","https://fbref.com/en/players/33e46323/Andrew-Brody",1995-05-03,"https://www.transfermarkt.com/andrew-brody/profil/spieler/415663","Left-Back"
"Andrew Carleton","2000","https://fbref.com/en/players/53b90314/Andrew-Carleton",2000-06-22,"https://www.transfermarkt.com/andrew-carleton/profil/spieler/370841","Left Winger"
"Andrew Farrell","1992","https://fbref.com/en/players/71eda165/Andrew-Farrell",1992-04-02,"https://www.transfermarkt.com/andrew-farrell/profil/spieler/253616","Centre-Back"
"Andrew Gutman","1996","https://fbref.com/en/players/b7a23251/Andrew-Gutman",1996-10-02,"https://www.transfermarkt.com/andrew-gutman/profil/spieler/638408","Left-Back"
"Andrew Putna","1994","https://fbref.com/en/players/5ba8a3f3/Andrew-Putna",1994-10-21,"https://www.transfermarkt.com/andrew-putna/profil/spieler/494257","Goalkeeper"
"Andrew Tarbell","1993","https://fbref.com/en/players/c5487a34/Andrew-Tarbell",1993-10-07,"https://www.transfermarkt.com/andrew-tarbell/profil/spieler/417349","Goalkeeper"
"Andrew Thomas","1998","https://fbref.com/en/players/1425ee30/Andrew-Thomas",1998-09-01,"https://www.transfermarkt.com/andrew-thomas/profil/spieler/635673","Goalkeeper"
"Andrew Wooten","1989","https://fbref.com/en/players/dacc061c/Andrew-Wooten",1989-09-30,"https://www.transfermarkt.com/andrew-wooten/profil/spieler/67407","Centre-Forward"
"Andy Polo","1994","https://fbref.com/en/players/d886b9b9/Andy-Polo",1994-09-29,"https://www.transfermarkt.com/andy-polo/profil/spieler/189236","Right Winger"
"Andy Rose","1990","https://fbref.com/en/players/a16d3560/Andy-Rose",1990-02-13,"https://www.transfermarkt.com/andy-rose/profil/spieler/213544","Centre-Back"
