Player,Born,Url,Squad,Nation,player_dob,player_url,tm_squad,tm_nationality,player_position,comp_name,region,country,season_start_year,squad,player_nationality,player_market_value_euro
Miguel Ángel Herrera,1989,https://fbref.com/en/players/34f9eb16/Miguel-Angel-Herrera,Pachuca,mx MEX,3/4/1989,https://www.transfermarkt.com/miguel-herrera/profil/spieler/234231,CF Pachuca,Mexico,Centre-Back,Liga MX Clausura,Americas,Mexico,2022,,,NA
Miguel Filipe Nunes Cardoso,1994,https://fbref.com/en/players/f9c7bf18/Miguel-Filipe-Nunes-Cardoso,B-SAD,pt POR,19/6/1994,https://www.transfermarkt.com/miguel-cardoso/profil/spieler/348425,B SAD,Portugal,Right Winger,Liga Portugal,Europe,Portugal,2020,,,1.00E+06
Mota,2003,https://fbref.com/en/players/2f5e92e9/Mota,Paços,pt POR,26/8/2003,https://www.transfermarkt.com/miguel-mota/profil/spieler/549028,FC Paços de Ferreira,Portugal,Right-Back,Liga Portugal,Europe,Portugal,2021,,,NA
Nuno Daniel Costeira Valente,1991,https://fbref.com/en/players/59cde382/Nuno-Daniel-Costeira-Valente,Vitória Setúbal,pt POR,22/11/1991,https://www.transfermarkt.com/nuno-valente/profil/spieler/177184,Vitória Setúbal FC,Portugal,Central Midfield,Liga Portugal,Europe,Portugal,2019,,,NA
Omar Israel Mendoza,1988,https://fbref.com/en/players/e2ab721a/Omar-Israel-Mendoza,Querétaro,mx MEX,28/10/1988,https://www.transfermarkt.com/omar-mendoza/profil/spieler/135851,Querétaro FC,Mexico,Right-Back,Liga MX Clausura,Americas,Mexico,2022,,,NA
Oscar Jiménez,1988,https://fbref.com/en/players/363ba1be/Oscar-Jimenez,América,mx MEX,12/10/1988,https://www.transfermarkt.com/oscar-jimenez/profil/spieler/125275,CF América,Mexico,Goalkeeper,Liga MX Clausura,Americas,Mexico,2022,,,NA
Pablo Javier García,1999,https://fbref.com/en/players/895321cd/Pablo-Javier-Garcia,Coritiba,uy URU,15/4/1999,https://www.transfermarkt.com/pablo-garcia/profil/spieler/421191,Coritiba Foot Ball Club,Uruguay,Left Winger,SÃ©rie A,Americas,Brazil,2021,,,NA
Patito Rodríguez,1990,https://fbref.com/en/players/3d0fd3d7/Patito-Rodriguez,Moreirense,ar ARG,4/5/1990,https://www.transfermarkt.com/pato-rodriguez/profil/spieler/66587,Moreirense FC,Argentina,Left Winger,Liga Portugal,Europe,Portugal,2019,,,NA
Pedro David Rosendo Marques,1998,https://fbref.com/en/players/717f39e8/Pedro-David-Rosendo-Marques,NEC Nijmegen,pt POR,25/4/1998,https://www.transfermarkt.com/pedro-marques/profil/spieler/404383,NEC Nijmegen,Portugal,Centre-Forward,Eredivisie,Europe,Netherlands,2022,,,NA
Pedro José Moreira Silva,1997,https://fbref.com/en/players/f829f728/Pedro-Jose-Moreira-Silva,Estoril,pt POR,13/2/1997,https://www.transfermarkt.com/pedro-silva/profil/spieler/258029,GD Estoril Praia,Portugal,Goalkeeper,Liga Portugal,Europe,Portugal,2022,,,NA
Pedro Pinho Marques,1998,https://fbref.com/en/players/de69c441/Pedro-Pinho-Marques,Paços,pt POR,18/3/1998,https://www.transfermarkt.com/pedro-marques/profil/spieler/425371,FC Paços de Ferreira,Portugal,Centre-Back,Liga Portugal,Europe,Portugal,2020,,,NA
Pedro Rodrigues,1997,https://fbref.com/en/players/20df3aaf/Pedro-Rodrigues,Famalicão,pt POR,7/3/1997,https://www.transfermarkt.com/bruno-rodrigues/profil/spieler/406766,FC Famalicão,Brazil,Left Winger,Liga Portugal,Europe,Portugal,2021,,,1.00E+06
Rafael Santos,1997,https://fbref.com/en/players/c9972d2c/Rafael-Santos,B-SAD,pt POR,14/2/1997,https://www.transfermarkt.com/rafa-santos/profil/spieler/596204,B SAD,Portugal,Attacking Midfield,Liga Portugal,Europe,Portugal,2021,,,NA
Raúl López Gómez,1993,https://fbref.com/en/players/16cb5073/Raul-Lopez-Gomez,Toluca,mx MEX,2/1/1993,https://www.transfermarkt.com/rodrigo-gomez/profil/spieler/247672,Deportivo Toluca,Argentina,Right Winger,Liga MX Clausura,Americas,Mexico,2018,,,NA
Rene Santos,1992,https://fbref.com/en/players/bee587c0/Rene-Santos,Marítimo,br BRA,21/4/1992,https://www.transfermarkt.com/rene-santos/profil/spieler/154990,CS Marítimo,Brazil,Centre-Back,Liga Portugal,Europe,Portugal,2020,,,NA
