"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"Championship",NA,"England",2022,"Huddersfield Town","Aaron Rowe","Right-Back",2000-09-07,"England",NA,"https://www.transfermarkt.com/aaron-rowe/profil/spieler/657994","Rowe","2000"
"Liga Portugal","Europe","Portugal",2019,"Desportivo Aves (- 2020)","Aaron Tshibola","Central Midfield",1995-01-02,"DR Congo",NA,"https://www.transfermarkt.com/aaron-tshibola/profil/spieler/243633","Tshibola","1995"
"Championship",NA,"England",2017,"Bolton Wanderers","Aaron Wilbraham","Centre-Forward",1979-10-21,"England",NA,"https://www.transfermarkt.com/aaron-wilbraham/profil/spieler/67202","Wilbraham","1979"
"Liga Portugal","Europe","Portugal",2022,"FC Paços de Ferreira","Abbas Ibrahim","Central Midfield",1998-01-02,"Nigeria",NA,"https://www.transfermarkt.com/abbas-ibrahim/profil/spieler/631278","Ibrahim","1998"
"Eredivisie","Europe","Netherlands",2019,"Sparta Rotterdam","Abdallah Aberkane","Right-Back",2000-05-05,"Netherlands",NA,"https://www.transfermarkt.com/abdallah-aberkane/profil/spieler/361086","Aberkane","2000"
"Championship",NA,"England",2021,"Stoke City","Abdallah Sima","Right Winger",2001-06-17,"Senegal",8e+06,"https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798","Sima","2001"
"Liga Portugal","Europe","Portugal",2020,"CD Tondela","Abdel Medioub","Centre-Back",1997-08-28,"Algeria",NA,"https://www.transfermarkt.com/abdel-medioub/profil/spieler/596901","Medioub","1997"
"Eredivisie","Europe","Netherlands",2017,"FC Groningen","Abdel Mounaim El Ouazzane","Goalkeeper",1998-02-26,"Netherlands",NA,"https://www.transfermarkt.com/abdel-mounaim-el-ouazzane/profil/spieler/317179","Ouazzane","1998"
"Eredivisie","Europe","Netherlands",2017,"Ajax Amsterdam","Abdelhak Nouri","Central Midfield",1997-04-02,"Netherlands",NA,"https://www.transfermarkt.com/abdelhak-nouri/profil/spieler/258353","Nouri","1997"
"Liga Portugal","Europe","Portugal",2018,"CD Santa Clara","Abdiel Arroyo","Centre-Forward",1993-12-13,"Panama",NA,"https://www.transfermarkt.com/abdiel-arroyo/profil/spieler/283472","Arroyo","1993"
"Eredivisie","Europe","Netherlands",2021,"Sparta Rotterdam","Abdou Harroui","Central Midfield",1998-01-13,"Morocco",3e+06,"https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386","Harroui","1998"
"Liga Portugal","Europe","Portugal",2019,"Sporting CP","Abdoulay Diaby","Right Winger",1991-05-21,"Mali",4e+06,"https://www.transfermarkt.com/abdoulay-diaby/profil/spieler/148396","Diaby","1991"
"Liga Portugal","Europe","Portugal",2021,"Moreirense FC","Abdoulaye Ba","Centre-Back",1991-01-01,"Senegal",NA,"https://www.transfermarkt.com/abdoulaye-ba/profil/spieler/106837","Ba","1991"
"Championship",NA,"England",2020,"Nottingham Forest","Abdoulaye Diallo","Goalkeeper",1992-03-30,"Senegal",NA,"https://www.transfermarkt.com/abdoulaye-diallo/profil/spieler/126681","Diallo","1992"
"Liga Portugal","Europe","Portugal",2019,"Desportivo Aves (- 2020)","Abdoulaye Diallo","Centre-Forward",1996-01-15,"Senegal",NA,"https://www.transfermarkt.com/abdoulaye-diallo/profil/spieler/415271","Diallo","1996"
"Championship",NA,"England",2022,"Sunderland AFC","Abdoullah Ba","Defensive Midfield",2003-07-31,"France",1e+06,"https://www.transfermarkt.com/abdoullah-ba/profil/spieler/654412","Ba","2003"
"Liga Portugal","Europe","Portugal",2021,"Moreirense FC","Abdu Conté","Left-Back",1998-03-24,"Portugal",3e+06,"https://www.transfermarkt.com/abdu-conte/profil/spieler/337798","Conté","1998"
"Liga Portugal","Europe","Portugal",2021,"FC Famalicão","Abdul Ibrahim","Left-Back",1999-01-13,"Ghana",NA,"https://www.transfermarkt.com/abdul-ibrahim/profil/spieler/640837","Ibrahim","1999"
"Liga Portugal","Europe","Portugal",2021,"FC Vizela","Abdul Mohammed","Defensive Midfield",2002-03-15,"Ghana",NA,"https://www.transfermarkt.com/abdul-mohammed/profil/spieler/917191","Mohammed","2002"
"Liga Portugal","Europe","Portugal",2021,"Vitória Guimarães SC","Abdul Mumin","Centre-Back",1998-06-06,"Ghana",3e+06,"https://www.transfermarkt.com/abdul-mumin/profil/spieler/451801","Mumin","1998"
"Championship",NA,"England",2022,"Reading FC","Abdul-Rahman Baba","Left-Back",1994-07-02,"Ghana",1800000,"https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884","Baba","1994"
"Liga Portugal","Europe","Portugal",2018,"CS Marítimo","Abdullah Al-Jawaey","Left Winger",1996-03-09,"Saudi Arabia",NA,"https://www.transfermarkt.com/abdullah-al-jawaey/profil/spieler/177477","Al-Jawaey","1996"
"Liga MX Clausura","Americas","Mexico",2019,"Club Necaxa","Abel Aguirre","Midfield",1996-10-06,"Mexico",NA,"https://www.transfermarkt.com/abel-aguirre/profil/spieler/654695","Aguirre","1996"
"Liga Portugal","Europe","Portugal",2021,"B SAD","Abel Camará","Centre-Forward",1990-01-06,"Guinea-Bissau",NA,"https://www.transfermarkt.com/abel-camara/profil/spieler/158380","Camará","1990"
"Liga MX Clausura","Americas","Mexico",2022,"Atlético de San Luis","Abel Hernández","Centre-Forward",1990-08-08,"Uruguay",1500000,"https://www.transfermarkt.com/abel-hernandez/profil/spieler/76608","Hernández","1990"
"Liga Portugal","Europe","Portugal",2022,"SC Braga","Abel Ruiz","Centre-Forward",2000-01-28,"Spain",7e+06,"https://www.transfermarkt.com/abel-ruiz/profil/spieler/340376","Ruiz","2000"
"Liga Portugal","Europe","Portugal",2018,"Desportivo Aves (- 2020)","Ablaye Faye","Defensive Midfield",1994-04-10,"Senegal",NA,"https://www.transfermarkt.com/ablaye-faye/profil/spieler/256139","Faye","1994"
"Liga Portugal","Europe","Portugal",2020,"SC Farense","Abner","Left-Back",1996-05-30,"Brazil",NA,"https://www.transfermarkt.com/abner/profil/spieler/273455","Abner","1996"
"SÃ©rie A","Americas","Brazil",2021,"Club Athletico Paranaense","Abner","Left-Back",2000-05-27,"Brazil",7500000,"https://www.transfermarkt.com/abner/profil/spieler/646402","Abner","2000"
"Liga Portugal","Europe","Portugal",2020,"Vitória Guimarães SC","Abou Ouattara","Right Winger",1999-12-26,"Burkina Faso",NA,"https://www.transfermarkt.com/abou-ouattara/profil/spieler/443263","Ouattara","1999"
