"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position","comp_name","region","country","season_start_year","squad","player_nationality","player_market_value_euro"
"José Manuel Velázquez","1990","https://fbref.com/en/players/25338427/Jose-Manuel-Velazquez","Arouca","ve VEN",1990-10-23,"https://www.transfermarkt.com/julian-velazquez/profil/spieler/124260",NA,NA,"Centre-Back","Liga MX Clausura","Americas","Mexico",2020,"Club Tijuana","Argentina",1e+06
"José Manuel Velázquez","1990","https://fbref.com/en/players/25338427/Jose-Manuel-Velazquez","Arouca","ve VEN",1990-07-02,"https://www.transfermarkt.com/miguel-velazquez/profil/spieler/186416",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2018,"Club León FC","Mexico",NA
"José Manuel Velázquez","1990","https://fbref.com/en/players/25338427/Jose-Manuel-Velazquez","Arouca","ve VEN",1990-09-08,"https://www.transfermarkt.com/sema-velazquez/profil/spieler/99296",NA,NA,"Centre-Back","Liga Portugal","Europe","Portugal",2022,"FC Arouca","Venezuela",NA
"José Oliveira","2002","https://fbref.com/en/players/7169c8d3/Jose-Oliveira","Paços","pt POR",2002-02-10,"https://www.transfermarkt.com/hugo-oliveira/profil/spieler/735822",NA,NA,"Right-Back","Liga Portugal","Europe","Portugal",2021,"FC Vizela","Portugal",NA
"José Oliveira","2002","https://fbref.com/en/players/7169c8d3/Jose-Oliveira","Paços","pt POR",2002-09-18,"https://www.transfermarkt.com/jota-oliveira/profil/spieler/724421",NA,NA,"Goalkeeper","Liga Portugal","Europe","Portugal",2022,"GD Estoril Praia","Portugal",NA
"José Oliveira","2002","https://fbref.com/en/players/7169c8d3/Jose-Oliveira","Paços","pt POR",2002-04-06,"https://www.transfermarkt.com/ze-oliveira/profil/spieler/672449",NA,NA,"Goalkeeper","Liga Portugal","Europe","Portugal",2022,"FC Paços de Ferreira","Portugal",NA
"José Santiago Hernández","1997","https://fbref.com/en/players/2a860a40/Jose-Santiago-Hernandez","Atlas","mx MEX",1997-09-28,"https://www.transfermarkt.com/adolfo-hernandez/profil/spieler/599314",NA,NA,"Centre-Forward","Liga MX Clausura","Americas","Mexico",2018,"UNAM Pumas","Mexico",NA
"José Santiago Hernández","1997","https://fbref.com/en/players/2a860a40/Jose-Santiago-Hernandez","Atlas","mx MEX",1997-05-01,"https://www.transfermarkt.com/jose-hernandez/profil/spieler/401349",NA,NA,"Goalkeeper","Liga MX Clausura","Americas","Mexico",2022,"Atlas Guadalajara","Mexico",NA
"Joseph Taylor","2002","https://fbref.com/en/players/bfd3801e/Joseph-Taylor","P'borough Utd","eng ENG",2002-11-18,"https://www.transfermarkt.com/joe-taylor/profil/spieler/944551",NA,NA,"Centre-Forward","Championship",NA,"England",2021,"Peterborough United","Wales",NA
"Joseph Taylor","2002","https://fbref.com/en/players/bfd3801e/Joseph-Taylor","P'borough Utd","eng ENG",2002-05-16,"https://www.transfermarkt.com/kenneth-taylor/profil/spieler/470394",NA,NA,"Central Midfield","Eredivisie","Europe","Netherlands",2022,"Ajax Amsterdam","Netherlands",1.4e+07
"Joshua Williams","1999","https://fbref.com/en/players/a3295d90/Joshua-Williams","Luton Town","wls WAL",1999-03-31,"https://www.transfermarkt.com/ben-williams/profil/spieler/427873",NA,NA,"Left-Back","Championship",NA,"England",2021,"Barnsley FC","Wales",NA
"Joshua Williams","1999","https://fbref.com/en/players/a3295d90/Joshua-Williams","Luton Town","wls WAL",1999-10-22,"https://www.transfermarkt.com/jordan-williams/profil/spieler/346468",NA,NA,"Right-Back","Championship",NA,"England",2021,"Barnsley FC","England",NA
"Joshua Williams","1999","https://fbref.com/en/players/a3295d90/Joshua-Williams","Luton Town","wls WAL",1999-08-30,"https://www.transfermarkt.com/morgan-williams/profil/spieler/594683",NA,NA,"Centre-Back","Championship",NA,"England",2020,"Coventry City","England",NA
"Juan Ignacio González","1984","https://fbref.com/en/players/fc5f0f3c/Juan-Ignacio-Gonzalez","León","mx MEX",1984-07-08,"https://www.transfermarkt.com/ignacio-gonzalez/profil/spieler/71161",NA,NA,"Centre-Back","Liga MX Clausura","Americas","Mexico",2020,"Club León FC","Mexico",NA
"Juan Ignacio González","1984","https://fbref.com/en/players/fc5f0f3c/Juan-Ignacio-Gonzalez","León","mx MEX",1984-08-10,"https://www.transfermarkt.com/osvaldo-gonzalez/profil/spieler/76391",NA,NA,"Centre-Back","Liga MX Clausura","Americas","Mexico",2018,"Deportivo Toluca","Chile",NA
"Juan José Sánchez","1998","https://fbref.com/en/players/1835f053/Juan-Jose-Sanchez","UANL","co COL",1998-09-19,"https://www.transfermarkt.com/antonio-sanchez/profil/spieler/426150",NA,NA,"Left-Back","Liga MX Clausura","Americas","Mexico",2018,"CD Cruz Azul","Mexico",NA
"Juan José Sánchez","1998","https://fbref.com/en/players/1835f053/Juan-Jose-Sanchez","UANL","co COL",1998-08-05,"https://www.transfermarkt.com/josue-sanchez/profil/spieler/645043",NA,NA,"Defensive Midfield","Liga MX Clausura","Americas","Mexico",2019,"Club León FC","Mexico",NA
"Juan Martínez","1999","https://fbref.com/en/players/2280fe86/Juan-Martinez","Atlético","mx MEX",1999-07-28,"https://www.transfermarkt.com/edson-martinez/profil/spieler/612174",NA,NA,"Defensive Midfield","Liga MX Clausura","Americas","Mexico",2019,"Santos Laguna","Mexico",NA
"Juan Martínez","1999","https://fbref.com/en/players/2280fe86/Juan-Martinez","Atlético","mx MEX",1999-08-17,"https://www.transfermarkt.com/emiliano-martinez/profil/spieler/707447",NA,NA,"Defensive Midfield","SÃ©rie A","Americas","Brazil",2021,"Red Bull Bragantino","Uruguay",2500000
"Juan Martínez","1999","https://fbref.com/en/players/2280fe86/Juan-Martinez","Atlético","mx MEX",1999-04-03,"https://www.transfermarkt.com/luis-martinez/profil/spieler/599554",NA,NA,"Right-Back","Liga MX Clausura","Americas","Mexico",2019,"Club Tijuana","Mexico",NA
