Player,Born,Url,player_url
Andrei Chindriş,1999,https://fbref.com/en/players/1035d300/Andrei-Chindris,https://www.transfermarkt.com/andrei-chindris/profil/spieler/435731
Andrej Lukić,1994,https://fbref.com/en/players/1265b619/Andrej-Lukic,https://www.transfermarkt.com/andrej-lukic/profil/spieler/239951
Andrej Šimunec,1995,https://fbref.com/en/players/464bc1ef/Andrej-Simunec,https://www.transfermarkt.com/andrej-simunec/profil/spieler/259988
Andrés Mosquera Guardia,1990,https://fbref.com/en/players/9cacb8e1/Andres-Mosquera-Guardia,https://www.transfermarkt.com/andres-mosquera/profil/spieler/74421
Andrew Oluwabori,,https://fbref.com/en/players/73c61a18/Andrew-Oluwabori,https://www.transfermarkt.com/andrew-oluwabori/profil/spieler/949413
Andrija Luković,1994,https://fbref.com/en/players/7cce7822/Andrija-Lukovic,https://www.transfermarkt.com/andrija-lukovic/profil/spieler/258135
Ángel Saavedra,2003,https://fbref.com/en/players/06c524cb/Angel-Saavedra,https://www.transfermarkt.com/angel-saavedra/profil/spieler/1065536
Ângelo Borges,2004,https://fbref.com/en/players/737945d9/Angelo-Borges,https://www.transfermarkt.com/angelo-gabriel/profil/spieler/743598
Anthony Dekono Lulandu,2000,https://fbref.com/en/players/48fea73c/Anthony-Dekono-Lulandu,https://www.transfermarkt.com/anthony-dekono/profil/spieler/540678
Anthony Landazuri,1997,https://fbref.com/en/players/b3a267f0/Anthony-Landazuri,https://www.transfermarkt.com/anthony-landazuri/profil/spieler/410696
Antoine Léautey,1996,https://fbref.com/en/players/f2350250/Antoine-Leautey,https://www.transfermarkt.com/antoine-leautey/profil/spieler/467486
Antoni Milambo,2008,https://fbref.com/en/players/b05f4787/Antoni-Milambo,https://www.transfermarkt.com/antoni-milambo/profil/spieler/683620
António Filipe de Carvalho,1985,https://fbref.com/en/players/f4a6be9a/Antonio-Filipe-de-Carvalho,https://www.transfermarkt.com/antonio-filipe/profil/spieler/25289
Ari Contreras,2005,https://fbref.com/en/players/0de83089/Ari-Contreras,https://www.transfermarkt.com/ari-contreras/profil/spieler/955313
Armstrong Okoflex,2002,https://fbref.com/en/players/ab77d10d/Armstrong-Okoflex,https://www.transfermarkt.com/armstrong-oko-flex/profil/spieler/531461
Arnaud Ake,1998,https://fbref.com/en/players/3402bb17/Arnaud-Ake,https://www.transfermarkt.com/ake-loba/profil/spieler/515512
Aron Timmerman,,https://fbref.com/en/players/2ae0f28b/Aron-Timmerman,https://www.transfermarkt.com/aron-timmerman/profil/spieler/538927
Arsénio Martins Lafuente Nunes,1989,https://fbref.com/en/players/50e148af/Arsenio-Martins-Lafuente-Nunes,https://www.transfermarkt.com/arsenio/profil/spieler/175600
Arthur,1998,https://fbref.com/en/players/184ad240/Arthur,https://www.transfermarkt.com/arthur-gomes/profil/spieler/401534
Arthur,1992,https://fbref.com/en/players/4a870f60/Arthur,https://www.transfermarkt.com/arthur-caike/profil/spieler/224481
Artur Jorge Marques Amorim,1994,https://fbref.com/en/players/801f3d1d/Artur-Jorge-Marques-Amorim,https://www.transfermarkt.com/artur-jorge/profil/spieler/276030
Assis Giovanaz,1989,https://fbref.com/en/players/9317d325/Assis-Giovanaz,https://www.transfermarkt.com/assis/profil/spieler/91296
Augusto César Moreira,1992,https://fbref.com/en/players/858b3f3f/Augusto-Cesar-Moreira,https://www.transfermarkt.com/augusto-cesar/profil/spieler/107012
Avtandil Ebralidze,1991,https://fbref.com/en/players/4dd5eb12/Avtandil-Ebralidze,https://www.transfermarkt.com/avto/profil/spieler/209012
Azeem Abdullah,,https://fbref.com/en/players/a0893a41/Azeem-Abdullah,https://www.transfermarkt.com/azeem-abdulai/profil/spieler/859940
Azongha Tembeng Abenego,1991,https://fbref.com/en/players/9adb5d19/Azongha-Tembeng-Abenego,https://www.transfermarkt.com/nego-tembeng/profil/spieler/351245
Bamidele Isa Yusuf,2001,https://fbref.com/en/players/9e5e7bae/Bamidele-Isa-Yusuf,https://www.transfermarkt.com/dele/profil/spieler/744063
Bartosz Białkowski,1987,https://fbref.com/en/players/4b5e809f/Bartosz-Bialkowski,https://www.transfermarkt.com/bartosz-bialkowski/profil/spieler/24496
