"Player","Born","Url","player_dob","player_url","player_position"
"Jack Colback",1989,"https://fbref.com/en/players/963a9201/Jack-Colback",1989-10-24,"https://www.transfermarkt.com/jack-colback/profil/spieler/61644","Defensive Midfield"
"Jackson Porozo",2000,"https://fbref.com/en/players/7d704e92/Jackson-Porozo",2000-08-04,"https://www.transfermarkt.com/jackson-porozo/profil/spieler/491616","Centre-Back"
"Jens Stage",1996,"https://fbref.com/en/players/1fffae99/Jens-Stage",1996-11-08,"https://www.transfermarkt.com/jens-stage/profil/spieler/289835","Central Midfield"
"João Palhinha",1995,"https://fbref.com/en/players/a78ff07f/Joao-Palhinha",1995-07-09,"https://www.transfermarkt.com/joao-palhinha/profil/spieler/257455","Defensive Midfield"
"Joe Aribo",1996,"https://fbref.com/en/players/328f7d51/Joe-Aribo",1996-07-21,"https://www.transfermarkt.com/joe-aribo/profil/spieler/468198","Central Midfield"
"Joe Scally",2002,"https://fbref.com/en/players/236f02cd/Joe-Scally",2002-12-31,"https://www.transfermarkt.com/joe-scally/profil/spieler/504153","Right-Back"
"Joe Worrall",1997,"https://fbref.com/en/players/a5212312/Joe-Worrall",1997-01-10,"https://www.transfermarkt.com/joe-worrall/profil/spieler/415970","Centre-Back"
"Johann Lepenant",2002,"https://fbref.com/en/players/1e52971c/Johann-Lepenant",2002-10-22,"https://www.transfermarkt.com/johann-lepenant/profil/spieler/585973","Defensive Midfield"
"Jordan Zemura",1999,"https://fbref.com/en/players/e8271ad9/Jordan-Zemura",1999-11-14,"https://www.transfermarkt.com/jordan-zemura/profil/spieler/633530","Left-Back"
"Jubal",1993,"https://fbref.com/en/players/56ae428b/Jubal",1993-08-29,"https://www.transfermarkt.com/jubal/profil/spieler/149928","Centre-Back"
"Julián Álvarez",2000,"https://fbref.com/en/players/15ab5a2b/Julian-Alvarez",2000-01-31,"https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024","Centre-Forward"
"Julian Jeanvier",1992,"https://fbref.com/en/players/5cb215fc/Julian-Jeanvier",1992-03-31,"https://www.transfermarkt.com/julian-jeanvier/profil/spieler/134277","Centre-Back"
"Karim Adeyemi",2002,"https://fbref.com/en/players/501055d8/Karim-Adeyemi",2002-01-18,"https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094","Centre-Forward"
"Keane Lewis-Potter",2001,"https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter",2001-02-22,"https://www.transfermarkt.com/keane-lewis-potter/profil/spieler/644401","Left Winger"
"Kevin Spadanuda",1997,"https://fbref.com/en/players/a45a5d95/Kevin-Spadanuda",1997-01-16,"https://www.transfermarkt.com/kevin-spadanuda/profil/spieler/371554","Left Midfield"
"Kieffer Moore",1992,"https://fbref.com/en/players/01ce9e70/Kieffer-Moore",1992-08-08,"https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590","Centre-Forward"
"Ko Itakura",1997,"https://fbref.com/en/players/97d545ae/Ko-Itakura",1997-01-27,"https://www.transfermarkt.com/ko-itakura/profil/spieler/355816","Centre-Back"
"Kristian Pedersen",1994,"https://fbref.com/en/players/5154b2ba/Kristian-Pedersen",1994-08-04,"https://www.transfermarkt.com/kristian-pedersen/profil/spieler/331779","Left-Back"
"Lassine Sinayoko",1999,"https://fbref.com/en/players/5e5249c8/Lassine-Sinayoko",1999-12-08,"https://www.transfermarkt.com/lassine-sinayoko/profil/spieler/569140","Centre-Forward"
"Lee Buchanan",2001,"https://fbref.com/en/players/45e95f21/Lee-Buchanan",2001-03-07,"https://www.transfermarkt.com/lee-buchanan/profil/spieler/532539","Left-Back"
"Levi Colwill",2003,"https://fbref.com/en/players/700783e7/Levi-Colwill",2003-02-26,"https://www.transfermarkt.com/levi-colwill/profil/spieler/614258","Centre-Back"
"Lewis O'Brien",1998,"https://fbref.com/en/players/089667a5/Lewis-OBrien",1998-10-14,"https://www.transfermarkt.com/lewis-obrien/profil/spieler/560694","Central Midfield"
"Lisandro Martínez",1998,"https://fbref.com/en/players/bac46a10/Lisandro-Martinez",1998-01-18,"https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762","Centre-Back"
"Loïs Openda",2000,"https://fbref.com/en/players/8652a85c/Lois-Openda",2000-02-16,"https://www.transfermarkt.com/lois-openda/profil/spieler/368887","Centre-Forward"
"Malcolm Ebiowei",2003,"https://fbref.com/en/players/fa9fa773/Malcolm-Ebiowei",2003-09-04,"https://www.transfermarkt.com/malcolm-ebiowei/profil/spieler/512354","Right Winger"
"Manor Solomon",1999,"https://fbref.com/en/players/886f9aac/Manor-Solomon",1999-07-24,"https://www.transfermarkt.com/manor-solomon/profil/spieler/396638","Left Winger"
"Marcus Tavernier",1999,"https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier",1999-03-22,"https://www.transfermarkt.com/marcus-tavernier/profil/spieler/399434","Left Midfield"
"Mateusz Wieteska",1997,"https://fbref.com/en/players/3ecc8c5f/Mateusz-Wieteska",1997-02-11,"https://www.transfermarkt.com/mateusz-wieteska/profil/spieler/208172","Centre-Back"
"Mathieu Coutadeur",1986,"https://fbref.com/en/players/ef8ae23b/Mathieu-Coutadeur",1986-03-20,"https://www.transfermarkt.com/mathieu-coutadeur/profil/spieler/39914","Central Midfield"
"Mikkel Desler",1995,"https://fbref.com/en/players/1d5c96f8/Mikkel-Desler",1995-02-19,"https://www.transfermarkt.com/mikkel-desler/profil/spieler/221873","Right-Back"
"Montassar Talbi",1998,"https://fbref.com/en/players/a4a44eb0/Montassar-Talbi",1998-05-26,"https://www.transfermarkt.com/montassar-talbi/profil/spieler/496706","Centre-Back"
"Mory Diaw",1993,"https://fbref.com/en/players/f41a69e6/Mory-Diaw",1993-06-22,"https://www.transfermarkt.com/mory-diaw/profil/spieler/164904","Goalkeeper"
"Mostafa Mohamed",1997,"https://fbref.com/en/players/595e6f3e/Mostafa-Mohamed",1997-11-28,"https://www.transfermarkt.com/mostafa-mohamed/profil/spieler/462348","Centre-Forward"
"Muhammed Damar",2004,"https://fbref.com/en/players/d3d77413/Muhammed-Damar",2004-04-09,"https://www.transfermarkt.com/muhammed-damar/profil/spieler/789898","Attacking Midfield"
