"player_name","player_dob","player_url","player_position","tm_surname","tm_yob"
"Dusan Vlahovic",2000-01-28,"https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498","Centre-Forward","Vlahovic",2000
"Duván Zapata",1991-04-01,"https://www.transfermarkt.com/duvan-zapata/profil/spieler/73794","Centre-Forward","Zapata",1991
"Dwight McNeil",1999-11-22,"https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769","Left Winger","McNeil",1999
"Dyego Sousa",1989-09-14,"https://www.transfermarkt.com/dyego-sousa/profil/spieler/157036","Centre-Forward","Sousa",1989
"Dylan Bronn",1995-06-19,"https://www.transfermarkt.com/dylan-bronn/profil/spieler/450417","Centre-Back","Bronn",1995
"Dzenan Pejcinovic",2005-02-15,"https://www.transfermarkt.com/dzenan-pejcinovic/profil/spieler/819636","Centre-Forward","Pejcinovic",2005
"Eberechi Eze",1998-06-29,"https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999","Attacking Midfield","Eze",1998
"Ebrima Darboe",2001-06-06,"https://www.transfermarkt.com/ebrima-darboe/profil/spieler/647484","Defensive Midfield","Darboe",2001
"Eddie Nketiah",1999-05-30,"https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324","Centre-Forward","Nketiah",1999
"Eden Hazard",1991-01-07,"https://www.transfermarkt.com/eden-hazard/profil/spieler/50202","Left Winger","Hazard",1991
"Éder Balanta",1993-02-28,"https://www.transfermarkt.com/eder-balanta/profil/spieler/265127","Defensive Midfield","Balanta",1993
"Éder Militão",1998-01-18,"https://www.transfermarkt.com/eder-militao/profil/spieler/401530","Centre-Back","Militão",1998
"Ederson",1993-08-17,"https://www.transfermarkt.com/ederson/profil/spieler/238223","Goalkeeper","Ederson",1993
"Éderson",1999-07-07,"https://www.transfermarkt.com/ederson/profil/spieler/607854","Central Midfield","Éderson",1999
"Édgar Badía",1992-02-12,"https://www.transfermarkt.com/edgar-badia/profil/spieler/102146","Goalkeeper","Badía",1992
"Edgar González",1997-04-01,"https://www.transfermarkt.com/edgar-gonzalez/profil/spieler/401624","Centre-Back","González",1997
"Edimilson Fernandes",1996-04-15,"https://www.transfermarkt.com/edimilson-fernandes/profil/spieler/247555","Central Midfield","Fernandes",1996
"Edin Dzeko",1986-03-17,"https://www.transfermarkt.com/edin-dzeko/profil/spieler/28396","Centre-Forward","Dzeko",1986
"Edinson Cavani",1987-02-14,"https://www.transfermarkt.com/edinson-cavani/profil/spieler/48280","Centre-Forward","Cavani",1987
"Edmond Tapsoba",1999-02-02,"https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545","Centre-Back","Tapsoba",1999
"Edoardo Bove",2002-05-16,"https://www.transfermarkt.com/edoardo-bove/profil/spieler/562049","Central Midfield","Bove",2002
"Edoardo Piana",2003-09-29,"https://www.transfermarkt.com/edoardo-piana/profil/spieler/612059","Goalkeeper","Piana",2003
"Edon Zhegrova",1999-03-31,"https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857","Right Winger","Zhegrova",1999
"Edouard Mendy",1992-03-01,"https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531","Goalkeeper","Mendy",1992
"Edu Expósito",1996-08-01,"https://www.transfermarkt.com/edu-exposito/profil/spieler/506248","Central Midfield","Expósito",1996
"Eduard Sobol",1995-04-20,"https://www.transfermarkt.com/eduard-sobol/profil/spieler/206717","Left-Back","Sobol",1995
"Eduardo Camavinga",2002-11-10,"https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428","Central Midfield","Camavinga",2002
"Eduardo Quaresma",2002-03-02,"https://www.transfermarkt.com/eduardo-quaresma/profil/spieler/504073","Centre-Back","Quaresma",2002
"Eiji Kawashima",1983-03-20,"https://www.transfermarkt.com/eiji-kawashima/profil/spieler/77383","Goalkeeper","Kawashima",1983
"El Bilal Touré",2001-10-03,"https://www.transfermarkt.com/el-bilal-toure/profil/spieler/649016","Centre-Forward","Touré",2001
"El Chadaille Bitshiabu",2005-05-16,"https://www.transfermarkt.com/el-chadaille-bitshiabu/profil/spieler/787912","Centre-Back","Bitshiabu",2005
"Elbasan Rashani",1993-05-09,"https://www.transfermarkt.com/elbasan-rashani/profil/spieler/149579","Left Winger","Rashani",1993
"Eldor Shomurodov",1995-06-29,"https://www.transfermarkt.com/eldor-shomurodov/profil/spieler/358166","Centre-Forward","Shomurodov",1995
"Elias Bakatukanda",2004-04-13,"https://www.transfermarkt.com/elias-bakatukanda/profil/spieler/795762","Centre-Back","Bakatukanda",2004
"Elias Damergy",2002-10-17,"https://www.transfermarkt.com/elias-damergy/profil/spieler/693312","Goalkeeper","Damergy",2002
"Eliesse Ben Seghir",2005-02-16,"https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895","Attacking Midfield","Seghir",2005
"Eliot Matazo",2002-02-15,"https://www.transfermarkt.com/eliot-matazo/profil/spieler/535834","Central Midfield","Matazo",2002
"Elisha Owusu",1997-11-07,"https://www.transfermarkt.com/elisha-owusu/profil/spieler/395695","Defensive Midfield","Owusu",1997
"Eljif Elmas",1999-09-24,"https://www.transfermarkt.com/eljif-elmas/profil/spieler/400489","Central Midfield","Elmas",1999
"Elliot Anderson",2002-11-06,"https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576","Attacking Midfield","Anderson",2002
"Ellis Simms",2001-01-05,"https://www.transfermarkt.com/ellis-simms/profil/spieler/511550","Centre-Forward","Simms",2001
"Ellyes Skhiri",1995-05-10,"https://www.transfermarkt.com/ellyes-skhiri/profil/spieler/290587","Defensive Midfield","Skhiri",1995
"Elseid Hysaj",1994-02-02,"https://www.transfermarkt.com/elseid-hysaj/profil/spieler/200056","Right-Back","Hysaj",1994
"Elvis Rexhbecaj",1997-11-01,"https://www.transfermarkt.com/elvis-rexhbecaj/profil/spieler/280575","Central Midfield","Rexhbecaj",1997
"Elye Wahi",2003-01-02,"https://www.transfermarkt.com/elye-wahi/profil/spieler/659542","Centre-Forward","Wahi",2003
"Emanuel Aiwu",2000-12-25,"https://www.transfermarkt.com/emanuel-aiwu/profil/spieler/394152","Centre-Back","Aiwu",2000
"Emanuel Vignato",2000-08-24,"https://www.transfermarkt.com/emanuel-vignato/profil/spieler/394346","Right Winger","Vignato",2000
"Emanuele Valeri",1998-12-07,"https://www.transfermarkt.com/emanuele-valeri/profil/spieler/445126","Left-Back","Valeri",1998
"Emerson Royal",1999-01-14,"https://www.transfermarkt.com/emerson-royal/profil/spieler/476344","Right-Back","Royal",1999
"Emerson",1994-08-03,"https://www.transfermarkt.com/emerson/profil/spieler/181778","Left-Back","Emerson",1994
"Emil Audero",1997-01-18,"https://www.transfermarkt.com/emil-audero/profil/spieler/256339","Goalkeeper","Audero",1997
"Emil Bohinen",1999-03-12,"https://www.transfermarkt.com/emil-bohinen/profil/spieler/406806","Central Midfield","Bohinen",1999
"Emil Forsberg",1991-10-23,"https://www.transfermarkt.com/emil-forsberg/profil/spieler/111078","Attacking Midfield","Forsberg",1991
"Emil Holm",2000-05-13,"https://www.transfermarkt.com/emil-holm/profil/spieler/496745","Right-Back","Holm",2000
"Emil Konradsen Ceide",2001-09-03,"https://www.transfermarkt.com/emil-konradsen-ceide/profil/spieler/508371","Left Winger","Ceide",2001
"Emil Krafth",1994-08-02,"https://www.transfermarkt.com/emil-krafth/profil/spieler/184528","Right-Back","Krafth",1994
"Emile Smith Rowe",2000-07-28,"https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765","Attacking Midfield","Rowe",2000
"Emiliano Buendía",1996-12-25,"https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247","Right Winger","Buendía",1996
"Emiliano Martínez",1992-09-02,"https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873","Goalkeeper","Martínez",1992
"Emirhan Ilkhan",2004-06-01,"https://www.transfermarkt.com/emirhan-ilkhan/profil/spieler/743091","Central Midfield","Ilkhan",2004
"Emmanuel Agbadou",1997-06-17,"https://www.transfermarkt.com/emmanuel-agbadou/profil/spieler/683895","Centre-Back","Agbadou",1997
"Emmanuel Dennis",1997-11-15,"https://www.transfermarkt.com/emmanuel-dennis/profil/spieler/448854","Centre-Forward","Dennis",1997
"Emmanuel Gyasi",1994-01-11,"https://www.transfermarkt.com/emmanuel-gyasi/profil/spieler/241076","Left Winger","Gyasi",1994
"Emre Can",1994-01-12,"https://www.transfermarkt.com/emre-can/profil/spieler/119296","Defensive Midfield","Can",1994
"Enes Ünal",1997-05-10,"https://www.transfermarkt.com/enes-unal/profil/spieler/251106","Centre-Forward","Ünal",1997
"Eniss Shabani",2003-05-29,"https://www.transfermarkt.com/eniss-shabani/profil/spieler/663189","Central Midfield","Shabani",2003
"Enzo Barrenechea",2001-05-22,"https://www.transfermarkt.com/enzo-barrenechea/profil/spieler/671915","Defensive Midfield","Barrenechea",2001
"Enzo Ebosse",1999-03-11,"https://www.transfermarkt.com/enzo-ebosse/profil/spieler/342877","Centre-Back","Ebosse",1999
"Enzo Fernández",2001-01-17,"https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195","Defensive Midfield","Fernández",2001
"Enzo Le Fée",2000-02-03,"https://www.transfermarkt.com/enzo-le-fee/profil/spieler/633992","Attacking Midfield","Fée",2000
"Enzo Millot",2002-07-17,"https://www.transfermarkt.com/enzo-millot/profil/spieler/569366","Central Midfield","Millot",2002
"Enzo Roco",1992-08-16,"https://www.transfermarkt.com/enzo-roco/profil/spieler/186862","Centre-Back","Roco",1992
"Enzo Tchato",2002-11-23,"https://www.transfermarkt.com/enzo-tchato/profil/spieler/842338","Centre-Back","Tchato",2002
"Eray Cömert",1998-02-04,"https://www.transfermarkt.com/eray-comert/profil/spieler/298583","Centre-Back","Cömert",1998
"Eren Dinkci",2001-12-13,"https://www.transfermarkt.com/eren-dinkci/profil/spieler/645774","Centre-Forward","Dinkci",2001
"Erhan Masovic",1998-11-22,"https://www.transfermarkt.com/erhan-masovic/profil/spieler/343959","Centre-Back","Masovic",1998
"Eric Bailly",1994-04-12,"https://www.transfermarkt.com/eric-bailly/profil/spieler/286384","Centre-Back","Bailly",1994
"Eric Dier",1994-01-15,"https://www.transfermarkt.com/eric-dier/profil/spieler/175722","Centre-Back","Dier",1994
"Eric García",2001-01-09,"https://www.transfermarkt.com/eric-garcia/profil/spieler/466794","Centre-Back","García",2001
"Eric Martel",2002-04-29,"https://www.transfermarkt.com/eric-martel/profil/spieler/597000","Defensive Midfield","Martel",2002
"Eric Maxim Choupo-Moting",1989-03-23,"https://www.transfermarkt.com/eric-maxim-choupo-moting/profil/spieler/45660","Centre-Forward","Choupo-Moting",1989
"Eric N'Jo",2004-06-01,"https://www.transfermarkt.com/eric-njo/profil/spieler/991649","Centre-Back","N'Jo",2004
"Erik Botheim",2000-01-10,"https://www.transfermarkt.com/erik-botheim/profil/spieler/418559","Centre-Forward","Botheim",2000
"Erik Lamela",1992-03-04,"https://www.transfermarkt.com/erik-lamela/profil/spieler/111630","Right Winger","Lamela",1992
"Erik Palmer-Brown",1997-04-24,"https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199","Centre-Back","Palmer-Brown",1997
"Erling Haaland",2000-07-21,"https://www.transfermarkt.com/erling-haaland/profil/spieler/418560","Centre-Forward","Haaland",2000
"Ermedin Demirovic",1998-03-25,"https://www.transfermarkt.com/ermedin-demirovic/profil/spieler/335457","Centre-Forward","Demirovic",1998
"Ermin Bicakcic",1990-01-24,"https://www.transfermarkt.com/ermin-bicakcic/profil/spieler/51676","Centre-Back","Bicakcic",1990
"Esteban Saveljich",1991-05-20,"https://www.transfermarkt.com/esteban-saveljich/profil/spieler/240360","Centre-Back","Saveljich",1991
"Ethan Ampadu",2000-09-14,"https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771","Centre-Back","Ampadu",2000
"Ethan Pinnock",1993-05-29,"https://www.transfermarkt.com/ethan-pinnock/profil/spieler/442248","Centre-Back","Pinnock",1993
"Étienne Capoue",1988-07-11,"https://www.transfermarkt.com/etienne-capoue/profil/spieler/63494","Defensive Midfield","Capoue",1988
"Etrit Berisha",1989-03-10,"https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825","Goalkeeper","Berisha",1989
"Eugenio Lamanna",1989-08-07,"https://www.transfermarkt.com/eugenio-lamanna/profil/spieler/85240","Goalkeeper","Lamanna",1989
"Evan Ferguson",2004-10-19,"https://www.transfermarkt.com/evan-ferguson/profil/spieler/648046","Centre-Forward","Ferguson",2004
"Evan Ndicka",1999-08-20,"https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149","Centre-Back","Ndicka",1999
"Evann Guessand",2001-07-01,"https://www.transfermarkt.com/evann-guessand/profil/spieler/500689","Centre-Forward","Guessand",2001
"Exequiel Palacios",1998-10-05,"https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578","Central Midfield","Palacios",1998
"Ezequiel Ponce",1997-03-29,"https://www.transfermarkt.com/ezequiel-ponce/profil/spieler/296783","Centre-Forward","Ponce",1997
"Ezri Konsa",1997-10-23,"https://www.transfermarkt.com/ezri-konsa/profil/spieler/413403","Centre-Back","Konsa",1997
"Fabian Bredlow",1995-03-02,"https://www.transfermarkt.com/fabian-bredlow/profil/spieler/187624","Goalkeeper","Bredlow",1995
"Fabián Ruiz",1996-04-03,"https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219","Central Midfield","Ruiz",1996
"Fabian Schär",1991-12-20,"https://www.transfermarkt.com/fabian-schar/profil/spieler/135343","Centre-Back","Schär",1991
"Fabiano Parisi",2000-11-09,"https://www.transfermarkt.com/fabiano-parisi/profil/spieler/547985","Left-Back","Parisi",2000
"Fabien Centonze",1996-01-16,"https://www.transfermarkt.com/fabien-centonze/profil/spieler/384859","Right-Back","Centonze",1996
"Fabinho",1993-10-23,"https://www.transfermarkt.com/fabinho/profil/spieler/225693","Defensive Midfield","Fabinho",1993
"Fábio Carvalho",2002-08-30,"https://www.transfermarkt.com/fabio-carvalho/profil/spieler/559263","Attacking Midfield","Carvalho",2002
"Fabio Chiarodia",2005-06-05,"https://www.transfermarkt.com/fabio-chiarodia/profil/spieler/724104","Centre-Back","Chiarodia",2005
"Fabio Depaoli",1997-04-24,"https://www.transfermarkt.com/fabio-depaoli/profil/spieler/324282","Right-Back","Depaoli",1997
"Fabio Miretti",2003-08-03,"https://www.transfermarkt.com/fabio-miretti/profil/spieler/571607","Central Midfield","Miretti",2003
"Fabio Quagliarella",1983-01-31,"https://www.transfermarkt.com/fabio-quagliarella/profil/spieler/22328","Centre-Forward","Quagliarella",1983
"Fábio Vieira",2000-05-30,"https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598","Attacking Midfield","Vieira",2000
"Fabrizio Angileri",1994-03-15,"https://www.transfermarkt.com/fabrizio-angileri/profil/spieler/268506","Left-Back","Angileri",1994
"Facundo Buonanotte",2004-12-23,"https://www.transfermarkt.com/facundo-buonanotte/profil/spieler/983989","Attacking Midfield","Buonanotte",2004
"Facundo Medina",1999-05-28,"https://www.transfermarkt.com/facundo-medina/profil/spieler/474800","Centre-Back","Medina",1999
"Facundo Pellistri",2001-12-20,"https://www.transfermarkt.com/facundo-pellistri/profil/spieler/676318","Right Winger","Pellistri",2001
"Faitout Maouassa",1998-07-06,"https://www.transfermarkt.com/faitout-maouassa/profil/spieler/357072","Left-Back","Maouassa",1998
"Falaye Sacko",1995-05-01,"https://www.transfermarkt.com/falaye-sacko/profil/spieler/364857","Right-Back","Sacko",1995
"Fali",1993-08-12,"https://www.transfermarkt.com/fali/profil/spieler/252667","Centre-Back","Fali",1993
"Faouzi Ghoulam",1991-02-01,"https://www.transfermarkt.com/faouzi-ghoulam/profil/spieler/126656","Left-Back","Ghoulam",1991
"Farès Chaïbi",2002-11-28,"https://www.transfermarkt.com/fares-chaibi/profil/spieler/855015","Left Winger","Chaïbi",2002
"Farid El Melali",1997-07-13,"https://www.transfermarkt.com/farid-el-melali/profil/spieler/425400","Left Winger","Melali",1997
"Faride Alidou",2001-07-18,"https://www.transfermarkt.com/faride-alidou/profil/spieler/456492","Left Winger","Alidou",2001
"Fede San Emeterio",1997-03-16,"https://www.transfermarkt.com/fede-san-emeterio/profil/spieler/307519","Central Midfield","Emeterio",1997
"Federico Baschirotto",1996-09-20,"https://www.transfermarkt.com/federico-baschirotto/profil/spieler/351955","Centre-Back","Baschirotto",1996
"Federico Bonazzoli",1997-05-21,"https://www.transfermarkt.com/federico-bonazzoli/profil/spieler/241527","Centre-Forward","Bonazzoli",1997
"Federico Brancolini",2001-07-14,"https://www.transfermarkt.com/federico-brancolini/profil/spieler/451154","Goalkeeper","Brancolini",2001
"Federico Ceccherini",1992-05-11,"https://www.transfermarkt.com/federico-ceccherini/profil/spieler/163639","Centre-Back","Ceccherini",1992
"Federico Chiesa",1997-10-25,"https://www.transfermarkt.com/federico-chiesa/profil/spieler/341092","Left Winger","Chiesa",1997
"Federico Di Francesco",1994-06-14,"https://www.transfermarkt.com/federico-di-francesco/profil/spieler/38607","Left Winger","Francesco",1994
"Federico Dimarco",1997-11-10,"https://www.transfermarkt.com/federico-dimarco/profil/spieler/198116","Left-Back","Dimarco",1997
"Federico Fazio",1987-03-17,"https://www.transfermarkt.com/federico-fazio/profil/spieler/45314","Centre-Back","Fazio",1987
"Federico Gatti",1998-06-24,"https://www.transfermarkt.com/federico-gatti/profil/spieler/509022","Centre-Back","Gatti",1998
"Federico Marchetti",1983-02-07,"https://www.transfermarkt.com/federico-marchetti/profil/spieler/22318","Goalkeeper","Marchetti",1983
"Federico Ravaglia",1999-11-11,"https://www.transfermarkt.com/federico-ravaglia/profil/spieler/390304","Goalkeeper","Ravaglia",1999
"Federico Valverde",1998-07-22,"https://www.transfermarkt.com/federico-valverde/profil/spieler/369081","Central Midfield","Valverde",1998
"Felipe Anderson",1993-04-15,"https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372","Right Winger","Anderson",1993
"Felipe",1989-05-16,"https://www.transfermarkt.com/felipe/profil/spieler/156501","Centre-Back","Felipe",1989
"Felix Afena-Gyan",2003-01-19,"https://www.transfermarkt.com/felix-afena-gyan/profil/spieler/872380","Centre-Forward","Afena-Gyan",2003
"Felix Agu",1999-09-27,"https://www.transfermarkt.com/felix-agu/profil/spieler/393512","Right-Back","Agu",1999
"Félix Lemaréchal",2003-08-07,"https://www.transfermarkt.com/felix-lemarechal/profil/spieler/659518","Central Midfield","Lemaréchal",2003
"Felix Nmecha",2000-10-10,"https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640","Attacking Midfield","Nmecha",2000
"Felix Passlack",1998-05-29,"https://www.transfermarkt.com/felix-passlack/profil/spieler/274461","Right-Back","Passlack",1998
"Felix Uduokhai",1997-09-09,"https://www.transfermarkt.com/felix-uduokhai/profil/spieler/278343","Centre-Back","Uduokhai",1997
"Ferland Mendy",1995-06-08,"https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417","Left-Back","Mendy",1995
"Fernand Mayembo",1996-01-09,"https://www.transfermarkt.com/fernand-mayembo/profil/spieler/413245","Centre-Back","Mayembo",1996
"Fernando Calero",1995-09-14,"https://www.transfermarkt.com/fernando-calero/profil/spieler/357884","Centre-Back","Calero",1995
"Fernando Martínez",1990-06-10,"https://www.transfermarkt.com/fernando-martinez/profil/spieler/81997","Goalkeeper","Martínez",1990
"Fernando Pacheco",1992-05-18,"https://www.transfermarkt.com/fernando-pacheco/profil/spieler/172015","Goalkeeper","Pacheco",1992
"Fernando",1987-07-25,"https://www.transfermarkt.com/fernando/profil/spieler/51174","Defensive Midfield","Fernando",1987
"Ferran Torres",2000-02-29,"https://www.transfermarkt.com/ferran-torres/profil/spieler/398184","Left Winger","Torres",2000
"Festy Ebosele",2002-08-02,"https://www.transfermarkt.com/festy-ebosele/profil/spieler/586756","Right-Back","Ebosele",2002
"Fidel",1989-10-27,"https://www.transfermarkt.com/fidel/profil/spieler/149231","Left Winger","Fidel",1989
"Fikayo Tomori",1997-12-19,"https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254","Centre-Back","Tomori",1997
"Filip Djuricic",1992-01-30,"https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307","Attacking Midfield","Djuricic",1992
"Filip Jörgensen",2002-04-16,"https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323","Goalkeeper","Jörgensen",2002
"Filip Kostić",1992-11-01,"https://www.transfermarkt.com/filip-kosti%C4%87/profil/spieler/161011","Left Midfield","Kostić",1992
"Filip Uremovic",1997-02-11,"https://www.transfermarkt.com/filip-uremovic/profil/spieler/325887","Centre-Back","Uremovic",1997
"Filippo Bandinelli",1995-03-29,"https://www.transfermarkt.com/filippo-bandinelli/profil/spieler/240934","Central Midfield","Bandinelli",1995
"Filippo Ranocchia",2001-05-14,"https://www.transfermarkt.com/filippo-ranocchia/profil/spieler/489611","Central Midfield","Ranocchia",2001
"Filippo Romagna",1997-05-26,"https://www.transfermarkt.com/filippo-romagna/profil/spieler/256678","Centre-Back","Romagna",1997
"Filippo Terracciano",2003-02-08,"https://www.transfermarkt.com/filippo-terracciano/profil/spieler/631007","Right Midfield","Terracciano",2003
"Fin Stevens",2003-04-10,"https://www.transfermarkt.com/fin-stevens/profil/spieler/587019","Right-Back","Stevens",2003
"Finn Dahmen",1998-03-27,"https://www.transfermarkt.com/finn-dahmen/profil/spieler/251299","Goalkeeper","Dahmen",1998
"Finn Ole Becker",2000-06-08,"https://www.transfermarkt.com/finn-ole-becker/profil/spieler/334999","Central Midfield","Becker",2000
"Fisnik Asllani",2002-08-08,"https://www.transfermarkt.com/fisnik-asllani/profil/spieler/524290","Centre-Forward","Asllani",2002
"Flavien Tait",1993-02-02,"https://www.transfermarkt.com/flavien-tait/profil/spieler/202278","Central Midfield","Tait",1993
"Flavio Paoletti",2003-01-16,"https://www.transfermarkt.com/flavio-paoletti/profil/spieler/622801","Defensive Midfield","Paoletti",2003
"Flavius Daniliuc",2001-04-27,"https://www.transfermarkt.com/flavius-daniliuc/profil/spieler/322655","Centre-Back","Daniliuc",2001
"Florent Duparchy",2000-06-20,"https://www.transfermarkt.com/florent-duparchy/profil/spieler/854861","Goalkeeper","Duparchy",2000
"Florent Mollet",1991-11-19,"https://www.transfermarkt.com/florent-mollet/profil/spieler/222859","Attacking Midfield","Mollet",1991
"Florent Ogier",1989-03-21,"https://www.transfermarkt.com/florent-ogier/profil/spieler/91473","Centre-Back","Ogier",1989
"Florian Chabrolle",1998-04-07,"https://www.transfermarkt.com/florian-chabrolle/profil/spieler/418662","Attacking Midfield","Chabrolle",1998
"Florian Dietz",1998-08-03,"https://www.transfermarkt.com/florian-dietz/profil/spieler/283871","Centre-Forward","Dietz",1998
"Florian Kainz",1992-10-24,"https://www.transfermarkt.com/florian-kainz/profil/spieler/106270","Left Winger","Kainz",1992
"Florian Lejeune",1991-05-20,"https://www.transfermarkt.com/florian-lejeune/profil/spieler/127108","Centre-Back","Lejeune",1991
"Florian Müller",1997-11-13,"https://www.transfermarkt.com/florian-muller/profil/spieler/284769","Goalkeeper","Müller",1997
"Florian Neuhaus",1997-03-16,"https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332","Central Midfield","Neuhaus",1997
"Florian Niederlechner",1990-10-24,"https://www.transfermarkt.com/florian-niederlechner/profil/spieler/152963","Centre-Forward","Niederlechner",1990
"Florian Schock",2001-05-22,"https://www.transfermarkt.com/florian-schock/profil/spieler/470816","Goalkeeper","Schock",2001
"Florian Sotoca",1990-10-25,"https://www.transfermarkt.com/florian-sotoca/profil/spieler/354726","Centre-Forward","Sotoca",1990
"Florian Tardieu",1992-04-22,"https://www.transfermarkt.com/florian-tardieu/profil/spieler/212804","Central Midfield","Tardieu",1992
"Florian Thauvin",1993-01-26,"https://www.transfermarkt.com/florian-thauvin/profil/spieler/184892","Right Winger","Thauvin",1993
"Florian Wirtz",2003-05-03,"https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577","Attacking Midfield","Wirtz",2003
"Flynn Downes",1999-01-20,"https://www.transfermarkt.com/flynn-downes/profil/spieler/506189","Central Midfield","Downes",1999
"Fodé Ballo-Touré",1997-01-03,"https://www.transfermarkt.com/fode-ballo-toure/profil/spieler/296422","Left-Back","Ballo-Touré",1997
"Folarin Balogun",2001-07-03,"https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770","Centre-Forward","Balogun",2001
"Fran Beltrán",1999-02-03,"https://www.transfermarkt.com/fran-beltran/profil/spieler/423444","Central Midfield","Beltrán",1999
"Fran García",1999-08-14,"https://www.transfermarkt.com/fran-garcia/profil/spieler/341264","Left-Back","García",1999
"Fran Pérez",2002-09-09,"https://www.transfermarkt.com/fran-perez/profil/spieler/622988","Right Winger","Pérez",2002
"Francesco Acerbi",1988-02-10,"https://www.transfermarkt.com/francesco-acerbi/profil/spieler/131075","Centre-Back","Acerbi",1988
"Francesco Bardi",1992-01-18,"https://www.transfermarkt.com/francesco-bardi/profil/spieler/110925","Goalkeeper","Bardi",1992
"Francesco Caputo",1987-08-06,"https://www.transfermarkt.com/francesco-caputo/profil/spieler/84765","Centre-Forward","Caputo",1987
"Francesco Rossi",1991-04-27,"https://www.transfermarkt.com/francesco-rossi/profil/spieler/126634","Goalkeeper","Rossi",1991
"Franci Bouebari",2003-09-12,"https://www.transfermarkt.com/franci-bouebari/profil/spieler/1029294","Centre-Back","Bouebari",2003
"Francis Coquelin",1991-05-13,"https://www.transfermarkt.com/francis-coquelin/profil/spieler/74869","Defensive Midfield","Coquelin",1991
"Francisco Portillo",1990-06-13,"https://www.transfermarkt.com/francisco-portillo/profil/spieler/138803","Right Winger","Portillo",1990
"Franck Honorat",1996-08-11,"https://www.transfermarkt.com/franck-honorat/profil/spieler/229006","Right Winger","Honorat",1996
"Franck Kessié",1996-12-19,"https://www.transfermarkt.com/franck-kessie/profil/spieler/294808","Central Midfield","Kessié",1996
"Franco Carboni",2003-04-04,"https://www.transfermarkt.com/franco-carboni/profil/spieler/731491","Left-Back","Carboni",2003
"Franco Cervi",1994-05-26,"https://www.transfermarkt.com/franco-cervi/profil/spieler/341110","Left Winger","Cervi",1994
"François-Joseph Sollacaro",1994-03-21,"https://www.transfermarkt.com/francois-joseph-sollacaro/profil/spieler/331977","Goalkeeper","Sollacaro",1994
"Frank Anguissa",1995-11-16,"https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361","Central Midfield","Anguissa",1995
"Frank Onyeka",1998-01-01,"https://www.transfermarkt.com/frank-onyeka/profil/spieler/421637","Central Midfield","Onyeka",1998
"Frank Tsadjout",1999-07-28,"https://www.transfermarkt.com/frank-tsadjout/profil/spieler/392545","Centre-Forward","Tsadjout",1999
"Fraser Forster",1988-03-17,"https://www.transfermarkt.com/fraser-forster/profil/spieler/52570","Goalkeeper","Forster",1988
"Fred",1993-03-05,"https://www.transfermarkt.com/fred/profil/spieler/191614","Central Midfield","Fred",1993
"Frédéric Guilbert",1994-12-24,"https://www.transfermarkt.com/frederic-guilbert/profil/spieler/354352","Right-Back","Guilbert",1994
"Frederik Rönnow",1992-08-04,"https://www.transfermarkt.com/frederik-ronnow/profil/spieler/107775","Goalkeeper","Rönnow",1992
"Fredrik Jensen",1997-09-09,"https://www.transfermarkt.com/fredrik-jensen/profil/spieler/249157","Attacking Midfield","Jensen",1997
"Frenkie de Jong",1997-05-12,"https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330","Central Midfield","Jong",1997
"Gabri Veiga",2002-05-27,"https://www.transfermarkt.com/gabri-veiga/profil/spieler/699704","Attacking Midfield","Veiga",2002
"Gabriel Gudmundsson",1999-04-29,"https://www.transfermarkt.com/gabriel-gudmundsson/profil/spieler/362108","Left-Back","Gudmundsson",1999
