"player_name","player_dob","player_url","player_position","tm_surname","tm_yob"
"Agustín Álvarez",2001-05-19,"https://www.transfermarkt.com/agustin-alvarez/profil/spieler/812625","Centre-Forward","Álvarez",2001
"Agustín Marchesín",1988-03-16,"https://www.transfermarkt.com/agustin-marchesin/profil/spieler/54534","Goalkeeper","Marchesín",1988
"Agustín Rogel",1997-10-17,"https://www.transfermarkt.com/agustin-rogel/profil/spieler/456535","Centre-Back","Rogel",1997
"Aihen Muñoz",1997-08-16,"https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842","Left-Back","Muñoz",1997
"Aïman Maurer",2004-09-25,"https://www.transfermarkt.com/aiman-maurer/profil/spieler/860056","Attacking Midfield","Maurer",2004
"Aimar Oroz",2001-11-27,"https://www.transfermarkt.com/aimar-oroz/profil/spieler/634131","Attacking Midfield","Oroz",2001
"Ainsley Maitland-Niles",1997-08-29,"https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845","Right Midfield","Maitland-Niles",1997
"Aïssa Laïdouni",1996-12-13,"https://www.transfermarkt.com/aissa-laidouni/profil/spieler/233782","Central Midfield","Laïdouni",1996
"Aïssa Mandi",1991-10-22,"https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293","Centre-Back","Mandi",1991
"Aitor Fernández",1991-05-03,"https://www.transfermarkt.com/aitor-fernandez/profil/spieler/118997","Goalkeeper","Fernández",1991
"Aitor Paredes",2000-04-29,"https://www.transfermarkt.com/aitor-paredes/profil/spieler/591916","Centre-Back","Paredes",2000
"Aitor Ruibal",1996-03-22,"https://www.transfermarkt.com/aitor-ruibal/profil/spieler/378139","Right-Back","Ruibal",1996
"Ajdin Hrustic",1996-07-05,"https://www.transfermarkt.com/ajdin-hrustic/profil/spieler/265625","Attacking Midfield","Hrustic",1996
"Akim Zedadka",1995-05-30,"https://www.transfermarkt.com/akim-zedadka/profil/spieler/327863","Right-Back","Zedadka",1995
"Alan Virginius",2003-01-03,"https://www.transfermarkt.com/alan-virginius/profil/spieler/654415","Left Winger","Virginius",2003
"Alassane N'Diaye",1991-06-14,"https://www.transfermarkt.com/alassane-ndiaye/profil/spieler/281704","Right Midfield","N'Diaye",1991
"Alassane Plea",1993-03-10,"https://www.transfermarkt.com/alassane-plea/profil/spieler/167329","Left Winger","Plea",1993
"Alban Lafont",1999-01-23,"https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","Goalkeeper","Lafont",1999
"Albert Sambi Lokonga",1999-10-22,"https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967","Central Midfield","Lokonga",1999
"Alberth Elis",1996-02-12,"https://www.transfermarkt.com/alberth-elis/profil/spieler/281319","Right Winger","Elis",1996
"Alberto Grassi",1995-03-07,"https://www.transfermarkt.com/alberto-grassi/profil/spieler/197473","Central Midfield","Grassi",1995
"Alberto Moreno",1992-07-05,"https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917","Left-Back","Moreno",1992
"Albin Ekdal",1989-07-28,"https://www.transfermarkt.com/albin-ekdal/profil/spieler/49275","Defensive Midfield","Ekdal",1989
"Aleix García",1997-06-28,"https://www.transfermarkt.com/aleix-garcia/profil/spieler/261504","Central Midfield","García",1997
"Aleix Vidal",1989-08-21,"https://www.transfermarkt.com/aleix-vidal/profil/spieler/88490","Right Winger","Vidal",1989
"Alejandro Balde",2003-10-18,"https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688","Left-Back","Balde",2003
"Alejandro Catena",1994-10-28,"https://www.transfermarkt.com/alejandro-catena/profil/spieler/449796","Centre-Back","Catena",1994
"Alejandro Garnacho",2004-07-01,"https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779","Left Winger","Garnacho",2004
"Alejandro Pozo",1999-02-22,"https://www.transfermarkt.com/alejandro-pozo/profil/spieler/341272","Right-Back","Pozo",1999
"Aleksa Terzić",1999-08-17,"https://www.transfermarkt.com/aleksa-terzi%C4%87/profil/spieler/404260","Left-Back","Terzić",1999
"Aleksandar Mitrović",1994-09-16,"https://www.transfermarkt.com/aleksandar-mitrovi%C4%87/profil/spieler/51152","Centre-Forward","Mitrović",1994
"Aleksandr Golovin",1996-05-30,"https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918","Attacking Midfield","Golovin",1996
"Aleksey Miranchuk",1995-10-17,"https://www.transfermarkt.com/aleksey-miranchuk/profil/spieler/255450","Attacking Midfield","Miranchuk",1995
"Alessandro Bastoni",1999-04-13,"https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853","Centre-Back","Bastoni",1999
"Alessandro Berardi",1991-01-16,"https://www.transfermarkt.com/alessandro-berardi/profil/spieler/127217","Goalkeeper","Berardi",1991
"Alessandro Bianco",2002-10-01,"https://www.transfermarkt.com/alessandro-bianco/profil/spieler/602124","Central Midfield","Bianco",2002
"Alessandro Buongiorno",1999-06-06,"https://www.transfermarkt.com/alessandro-buongiorno/profil/spieler/386446","Centre-Back","Buongiorno",1999
"Alessandro Florenzi",1991-03-11,"https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","Right-Back","Florenzi",1991
"Alessandro Fontanarosa",2003-02-07,"https://www.transfermarkt.com/alessandro-fontanarosa/profil/spieler/616162","Centre-Back","Fontanarosa",2003
"Alessandro Russo",2001-03-31,"https://www.transfermarkt.com/alessandro-russo/profil/spieler/481344","Goalkeeper","Russo",2001
"Alessandro Sorrentino",2002-04-03,"https://www.transfermarkt.com/alessandro-sorrentino/profil/spieler/542588","Goalkeeper","Sorrentino",2002
"Alessandro Tuia",1990-06-08,"https://www.transfermarkt.com/alessandro-tuia/profil/spieler/73943","Centre-Back","Tuia",1990
