"country","country_url","league_name","league_url","has_leage_page"
"Dominican Republic","https://fbref.com/en/country/DOM/Dominican-Republic-Football",NA,NA,FALSE
"East Germany","https://fbref.com/en/country/GDR/East-Germany-Football",NA,NA,FALSE
"East Timor","https://fbref.com/en/country/TLS/Timor-Leste-Football",NA,NA,FALSE
"Ecuador","https://fbref.com/en/country/ECU/Ecuador-Football","Liga Profesional Ecuador (M)","https://fbref.com/en/comps/58/history/Serie-A-Seasons",TRUE
"Egypt","https://fbref.com/en/country/EGY/Egypt-Football",NA,NA,FALSE
"El Salvador","https://fbref.com/en/country/SLV/El-Salvador-Football",NA,NA,FALSE
"England","https://fbref.com/en/country/ENG/England-Football","Premier League 2 — Division 1 (M),
Premier League 2 — Division 2 (M),
Premier League (M),
FA Women's Super League (F),
EFL Championship (M),
EFL League One (M),
EFL League Two (M),
National League (M),
FA Cup (M),
FA Community Shield (M),
English Football League Cup (M)","https://fbref.com/en/comps/852/history/Premier-League-2----Division-1-Seasons,
https://fbref.com/en/comps/853/history/Premier-League-2----Division-2-Seasons,
https://fbref.com/en/comps/9/history/Premier-League-Seasons,
https://fbref.com/en/comps/189/history/Womens-Super-League-Seasons,
https://fbref.com/en/comps/10/history/Championship-Seasons,
https://fbref.com/en/comps/15/history/League-One-Seasons,
https://fbref.com/en/comps/16/history/League-Two-Seasons,
https://fbref.com/en/comps/34/history/National-League-Seasons,
https://fbref.com/en/comps/514/history/FA-Cup-Seasons,
https://fbref.com/en/comps/602/history/FA-Community-Shield-Seasons,
https://fbref.com/en/comps/690/history/EFL-Cup-Seasons",TRUE
"Equatorial Guinea","https://fbref.com/en/country/EQG/Equatorial-Guinea-Football",NA,NA,FALSE
"Eritrea","https://fbref.com/en/country/ERI/Eritrea-Football",NA,NA,FALSE
"Estonia","https://fbref.com/en/country/EST/Estonia-Football",NA,NA,FALSE
"Eswatini","https://fbref.com/en/country/SWZ/Eswatini-Football",NA,NA,FALSE
"Ethiopia","https://fbref.com/en/country/ETH/Ethiopia-Football",NA,NA,FALSE
"Faroe Islands","https://fbref.com/en/country/FRO/Faroe-Islands-Football",NA,NA,FALSE
"Fiji","https://fbref.com/en/country/FIJ/Fiji-Football",NA,NA,FALSE
"Finland","https://fbref.com/en/country/FIN/Finland-Football","Veikkausliiga (M)","https://fbref.com/en/comps/43/history/Veikkausliiga-Seasons",TRUE
"France","https://fbref.com/en/country/FRA/France-Football","Ligue 1 (M),
Championnat de France de Football Féminin (F),
Ligue 2 (M),
Coupe de France (M),
Trophée des Champions (M),
Coupe de la Ligue (M)","https://fbref.com/en/comps/13/history/Ligue-1-Seasons,
https://fbref.com/en/comps/193/history/Division-1-Feminine-Seasons,
https://fbref.com/en/comps/60/history/Ligue-2-Seasons,
https://fbref.com/en/comps/518/history/Coupe-de-France-Seasons,
https://fbref.com/en/comps/604/history/Trophee-des-Champions-Seasons,
https://fbref.com/en/comps/693/history/Coupe-de-la-Ligue-Seasons",TRUE
"French Guiana","https://fbref.com/en/country/GUF/French-Guiana-Football",NA,NA,FALSE
"Gabon","https://fbref.com/en/country/GAB/Gabon-Football",NA,NA,FALSE
"Gambia","https://fbref.com/en/country/GAM/Gambia-Football",NA,NA,FALSE
"Georgia","https://fbref.com/en/country/GEO/Georgia-Football",NA,NA,FALSE
"Germany","https://fbref.com/en/country/GER/Germany-Football","A-Junioren Bundesliga (M),
B-Junioren Bundesliga (M),
Fußball-Bundesliga (M),
Frauen-Bundesliga (F),
2. Fußball-Bundesliga (M),
3. Fußball-Liga (M),
DFB-Pokal (M),
DFL-Supercup (M),
DFB-Pokal Frauen (F)","https://fbref.com/en/comps/850/history/U19-Bundesliga-Seasons,
https://fbref.com/en/comps/851/history/U17-Bundesliga-Seasons,
https://fbref.com/en/comps/20/history/Bundesliga-Seasons,
https://fbref.com/en/comps/183/history/Frauen-Bundesliga-Seasons,
https://fbref.com/en/comps/33/history/2-Bundesliga-Seasons,
https://fbref.com/en/comps/59/history/3-Liga-Seasons,
https://fbref.com/en/comps/521/history/DFB-Pokal-Seasons,
https://fbref.com/en/comps/606/history/DFL-Supercup-Seasons,
https://fbref.com/en/comps/520/history/DFB-Pokal-Frauen-Seasons",TRUE
"Ghana","https://fbref.com/en/country/GHA/Ghana-Football",NA,NA,FALSE
"Gibraltar","https://fbref.com/en/country/GIB/Gibraltar-Football",NA,NA,FALSE
"Greece","https://fbref.com/en/country/GRE/Greece-Football","Super League Greece (M)","https://fbref.com/en/comps/27/history/Super-League-Greece-Seasons",TRUE
"Grenada","https://fbref.com/en/country/GRN/Grenada-Football",NA,NA,FALSE
"Guadeloupe","https://fbref.com/en/country/GLP/Guadeloupe-Football",NA,NA,FALSE
"Guam","https://fbref.com/en/country/GUM/Guam-Football",NA,NA,FALSE
"Guatemala","https://fbref.com/en/country/GUA/Guatemala-Football",NA,NA,FALSE
"Guinea","https://fbref.com/en/country/GUI/Guinea-Football",NA,NA,FALSE
"Guinea-Bissau","https://fbref.com/en/country/GNB/Guinea-Bissau-Football",NA,NA,FALSE
